GeneID	Length	sixth.sorted.bam
ENSG00000242485	5385	752
ENSG00000264293	293	0
ENSG00000272455	1523	66
ENSG00000235098	3350	692
ENSG00000225905	2447	14
ENSG00000205116	1660	8
ENSG00000225285	4035	312
ENSG00000179403	8022	7008
ENSG00000215915	20475	950
ENSG00000160072	26084	3291
ENSG00000284740	6203	77
ENSG00000197785	22524	3374
ENSG00000205090	5847	131
ENSG00000160075	33191	4635
ENSG00000215014	2974	32
ENSG00000274481	400	1
ENSG00000228594	2124	2050
ENSG00000286989	2390	133
ENSG00000272106	2038	349
ENSG00000197530	15196	10509
ENSG00000189409	3101	626
ENSG00000248333	23786	4624
ENSG00000272004	3278	1
ENSG00000189339	33267	9565
ENSG00000269737	2408	0
ENSG00000215914	1841	576
ENSG00000008128	21979	129
ENSG00000268575	34953	10
ENSG00000227775	12740	0
ENSG00000215790	21162	1462
ENSG00000008130	29226	6214
ENSG00000078369	105833	16272
ENSG00000231050	1188	47
ENSG00000169885	2189	98
ENSG00000178821	1690	77
ENSG00000142609	81887	45
ENSG00000233542	2427	2
ENSG00000187730	11430	27
ENSG00000226969	868	1
ENSG00000067606	134985	1910
ENSG00000271806	4196	0
ENSG00000182873	2596	0
ENSG00000162585	28260	1603
ENSG00000234396	8216	126
ENSG00000157933	81895	16923
ENSG00000287356	8046	179
ENSG00000116151	70455	2040
ENSG00000272161	493	0
ENSG00000269896	2407	0
ENSG00000272420	568	0
ENSG00000157916	13668	2376
ENSG00000157911	9834	2352
ENSG00000149527	79553	3819
ENSG00000224387	959	0
ENSG00000229393	1043	0
ENSG00000157881	18061	1207
ENSG00000197921	1519	0
ENSG00000272449	17397	85
ENSG00000238164	7112	476
ENSG00000157873	9744	5621
ENSG00000225931	3479	101
ENSG00000228037	2974	6
ENSG00000157870	4979	2951
ENSG00000142606	42378	86
ENSG00000237058	4053	8
ENSG00000215912	165742	358
ENSG00000285945	16643	0
ENSG00000283259	2871	0
ENSG00000233234	843	1
ENSG00000287396	3712	2
ENSG00000231630	567	0
ENSG00000284745	8050	1
ENSG00000169717	1437	0
ENSG00000177133	8823	55
ENSG00000142611	369454	215
ENSG00000283572	61	0
ENSG00000226286	783	0
ENSG00000279839	2677	0
ENSG00000272235	3461	0
ENSG00000287828	10098	0
ENSG00000286518	6114	0
ENSG00000130762	26449	2180
ENSG00000272088	382	3
ENSG00000162591	123558	5672
ENSG00000207776	96	0
ENSG00000238260	1554	33
ENSG00000158109	5113	3573
ENSG00000116213	21995	639
ENSG00000078900	83686	228
ENSG00000227589	9835	0
ENSG00000235131	2099	0
ENSG00000227372	11863	2120
ENSG00000276189	161	0
ENSG00000162592	25186	148
ENSG00000235169	3328	73
ENSG00000130764	17940	3314
ENSG00000266075	297	0
ENSG00000272153	531	0
ENSG00000116198	45129	2695
ENSG00000169598	28163	369
ENSG00000198912	11169	591
ENSG00000236423	16874	77
ENSG00000233304	14777	2
ENSG00000226374	4478	0
ENSG00000284668	36572	7
ENSG00000284703	6588	2
ENSG00000229280	372	1
ENSG00000235054	12663	6
ENSG00000284694	5245	0
ENSG00000227169	411	0
ENSG00000232596	22536	16
ENSG00000196581	137926	291
ENSG00000287586	4782	0
ENSG00000284739	9345	0
ENSG00000284674	8188	2
ENSG00000231510	4441	0
ENSG00000284616	5467	1
ENSG00000284692	14322	41
ENSG00000284666	1242	0
ENSG00000260972	1697	4
ENSG00000283356	135	0
ENSG00000236948	106587	43
ENSG00000264341	73	0
ENSG00000264101	70	1
ENSG00000131697	129663	2484
ENSG00000069424	110267	1946
ENSG00000116254	78535	48
ENSG00000285629	38328	3
ENSG00000116251	24370	106
ENSG00000226944	941	0
ENSG00000158286	15825	1197
ENSG00000116237	14780	2459
ENSG00000225077	4753	3
ENSG00000173673	1400	0
ENSG00000158292	13746	6485
ENSG00000097021	130123	1154
ENSG00000271746	837	0
ENSG00000069812	12253	94
ENSG00000187017	36592	944
ENSG00000265392	63	0
ENSG00000231868	3973	0
ENSG00000215788	5410	669
ENSG00000171680	53970	4140
ENSG00000162408	33167	2177
ENSG00000253022	111	0
ENSG00000229519	715	0
ENSG00000173662	24449	71
ENSG00000204859	9287	2170
ENSG00000162413	23884	9314
ENSG00000116273	10300	1357
ENSG00000041988	10721	607
ENSG00000007923	67757	2573
ENSG00000228750	5376	1
ENSG00000284744	2085	1
ENSG00000237436	952	13
ENSG00000171735	984253	3255
ENSG00000227950	286	0
ENSG00000237365	5904	0
ENSG00000207056	165	0
ENSG00000237402	1329	0
ENSG00000237728	7268	0
ENSG00000225126	459	0
ENSG00000270171	1721	0
ENSG00000270035	570	0
ENSG00000269978	267	0
ENSG00000049245	10137	2587
ENSG00000269925	393	0
ENSG00000049246	60858	1087
ENSG00000236266	17101	0
ENSG00000049247	10430	1
ENSG00000049249	27295	40
ENSG00000270330	355	0
ENSG00000116288	31215	2486
ENSG00000200344	103	0
ENSG00000284747	14179	151
ENSG00000284716	1748	0
ENSG00000116285	21906	10266
ENSG00000238290	95965	288
ENSG00000232848	1219	0
ENSG00000229305	2947	3
ENSG00000227634	13693	9
ENSG00000200975	164	0
ENSG00000233645	2340	1
ENSG00000251977	107	0
ENSG00000162426	26342	530
ENSG00000252254	113	0
ENSG00000142599	496525	24610
ENSG00000232912	10369	0
ENSG00000221083	125	0
ENSG00000270282	369	0
ENSG00000234619	658	0
ENSG00000224315	703	0
ENSG00000222511	103	0
ENSG00000226545	1032	0
ENSG00000228423	1192	0
ENSG00000229716	369	0
ENSG00000074800	18191	46130
ENSG00000274258	89	0
ENSG00000230679	1060	6
ENSG00000201725	107	1
ENSG00000238249	743	93
ENSG00000232208	352	0
ENSG00000232663	163	0
ENSG00000131686	29226	444
ENSG00000265141	299	0
ENSG00000197241	23046	19
ENSG00000142583	53373	593
ENSG00000252404	184	0
ENSG00000180758	28798	1619
ENSG00000228526	50896	841
ENSG00000284357	110	0
ENSG00000234546	14281	0
ENSG00000049239	36564	14492
ENSG00000171621	76639	3118
ENSG00000284652	1765	16
ENSG00000284693	15471	87
ENSG00000252956	110	0
ENSG00000235263	2380	2
ENSG00000171612	45709	852
ENSG00000231181	559	0
ENSG00000188807	25967	3095
ENSG00000171608	77384	2142
ENSG00000179840	1977	0
ENSG00000233268	1799	0
ENSG00000231789	15130	0
ENSG00000171603	95059	24545
ENSG00000271264	419	0
ENSG00000280113	1983	1
ENSG00000178585	62061	1156
ENSG00000223989	1837	0
ENSG00000285701	7421	0
ENSG00000162441	21295	1741
ENSG00000228150	7052	0
ENSG00000173614	42074	390
ENSG00000202415	319	0
ENSG00000283611	10216	0
ENSG00000265521	78	0
ENSG00000241326	1428	0
ENSG00000162444	18816	683
ENSG00000130939	148408	5978
ENSG00000224340	337	0
ENSG00000233623	978	0
ENSG00000201746	107	0
ENSG00000054523	170799	7105
ENSG00000264881	86	0
ENSG00000199562	107	0
ENSG00000264501	293	0
ENSG00000284735	5245	141
ENSG00000284642	2017	31
ENSG00000142657	21920	6502
ENSG00000271989	797	0
ENSG00000251503	22052	59
ENSG00000175279	12376	0
ENSG00000241563	1968	0
ENSG00000160049	16008	4533
ENSG00000203469	784	0
ENSG00000142655	158471	2833
ENSG00000287727	4231	0
ENSG00000243267	280	0
ENSG00000130940	160047	3393
ENSG00000272078	15093	0
ENSG00000225158	238	1
ENSG00000175262	35567	29
ENSG00000215785	820	1
ENSG00000120948	13396	4
ENSG00000277726	17867	108
ENSG00000009724	20717	24
ENSG00000271895	870	0
ENSG00000116649	5437	5337
ENSG00000171824	33252	3399
ENSG00000226849	4627	0
ENSG00000230337	2426	18
ENSG00000198793	156017	4968
ENSG00000225602	5640	0
ENSG00000253086	103	0
ENSG00000171819	6627	0
ENSG00000207451	107	0
ENSG00000238173	150	0
ENSG00000120942	22844	1350
ENSG00000238199	736	0
ENSG00000284646	7360	18
ENSG00000224338	565	0
ENSG00000204624	58397	138
ENSG00000285833	1214	0
ENSG00000235643	3891	1
ENSG00000284708	19859	6
ENSG00000116661	18768	1034
ENSG00000132879	8953	1600
ENSG00000116663	10155	394
ENSG00000116670	17171	909
ENSG00000162490	34148	70
ENSG00000177674	18719	1871
ENSG00000215910	27799	9
ENSG00000177553	2543	0
ENSG00000177000	20733	1978
ENSG00000011021	41984	2145
ENSG00000276470	173	0
ENSG00000278852	149	0
ENSG00000175206	2637	1
ENSG00000275915	108	0
ENSG00000120937	1482	1
ENSG00000224904	2637	14
ENSG00000285646	6359	26
ENSG00000199347	120	0
ENSG00000201801	120	0
ENSG00000116685	6838	9669
ENSG00000083444	41334	20538
ENSG00000287384	595	4
ENSG00000116688	33334	8597
ENSG00000270914	93	0
ENSG00000116691	12580	2359
ENSG00000202461	113	0
ENSG00000276869	65	0
ENSG00000243539	275	2
ENSG00000120949	80905	674
ENSG00000201135	104	0
ENSG00000227875	255	0
ENSG00000285604	3824	0
ENSG00000283789	96	0
ENSG00000028137	42238	3629
ENSG00000263676	61	0
ENSG00000225196	316	0
ENSG00000252969	124	0
ENSG00000048707	282018	6538
ENSG00000239149	152	0
ENSG00000229484	697	13
ENSG00000162496	50301	6549
ENSG00000221340	101	0
ENSG00000276830	67	0
ENSG00000272482	345	41
ENSG00000204518	22540	7
ENSG00000226166	112	0
ENSG00000188984	12651	3
ENSG00000157330	17500	1
ENSG00000116726	3066	0
ENSG00000116721	5232	1
ENSG00000228338	474	0
ENSG00000239810	6806	0
ENSG00000231103	3233	1
ENSG00000179172	1344	49
ENSG00000120952	4824	1
ENSG00000243073	6990	3
ENSG00000187545	5375	0
ENSG00000204510	3873	1
ENSG00000207434	107	0
ENSG00000234064	2092	0
ENSG00000232423	9109	11
ENSG00000274178	2792	0
ENSG00000274764	7016	2
ENSG00000277058	1361	1
ENSG00000229571	9208	2
ENSG00000277862	2793	5
ENSG00000236179	1287	0
ENSG00000275774	1367	16
ENSG00000229978	2798	5
ENSG00000233336	480	0
ENSG00000280267	7057	2
ENSG00000179412	1718	7
ENSG00000204505	7010	2
ENSG00000279169	5222	0
ENSG00000279804	3402	0
ENSG00000250894	2790	3
ENSG00000270601	9103	5
ENSG00000231219	2089	0
ENSG00000207511	107	0
ENSG00000182330	4140	1
ENSG00000237700	5369	0
ENSG00000204501	7018	1
ENSG00000228229	480	0
ENSG00000204481	5243	0
ENSG00000204480	2834	1
ENSG00000204479	2998	0
ENSG00000204478	10879	5
ENSG00000162494	39031	277
ENSG00000259961	3051	1
ENSG00000215909	694	0
ENSG00000162493	34493	1536
ENSG00000222952	101	0
ENSG00000237445	2600	45
ENSG00000253085	130	0
ENSG00000116731	124882	4099
ENSG00000189337	1225252	12701
ENSG00000252151	103	0
ENSG00000231606	82559	0
ENSG00000234593	81149	0
ENSG00000235829	485	0
ENSG00000287756	3259	0
ENSG00000175147	41804	104
ENSG00000171729	67947	712
ENSG00000204464	6974	0
ENSG00000215720	1018	0
ENSG00000278480	1177	5
ENSG00000142621	153012	357
ENSG00000233485	17197	0
ENSG00000236045	1299	0
ENSG00000228140	6455	5
ENSG00000142634	20452	2752
ENSG00000162438	10801	9
ENSG00000142615	15364	14
ENSG00000215704	25487	81
ENSG00000132906	35703	777
ENSG00000116138	65567	1389
ENSG00000251866	140	0
ENSG00000272510	346	0
ENSG00000116771	13353	0
ENSG00000237301	17491	10
ENSG00000235084	447	147
ENSG00000252417	68	1
ENSG00000236500	225	0
ENSG00000197312	51587	3321
ENSG00000215695	1854	0
ENSG00000271742	256	0
ENSG00000116786	50450	3852
ENSG00000237938	16585	45
ENSG00000162461	5135	143
ENSG00000224459	9846	1
ENSG00000162460	5484	0
ENSG00000162458	29988	4989
ENSG00000224321	490	721
ENSG00000233954	2180	194
ENSG00000178715	438	212
ENSG00000179743	13674	209
ENSG00000065526	104362	12798
ENSG00000270620	211	0
ENSG00000116809	34264	2681
ENSG00000234607	563	0
ENSG00000231353	260	0
ENSG00000275503	236	0
ENSG00000224966	4881	0
ENSG00000183888	4572	65
ENSG00000233078	512	0
ENSG00000173641	5567	982
ENSG00000186510	15176	130
ENSG00000232456	4852	16
ENSG00000184908	13573	32
ENSG00000185519	15883	86
ENSG00000142627	31733	4577
ENSG00000227959	2119	14
ENSG00000224621	2618	25
ENSG00000142632	14799	2816
ENSG00000234166	504	0
ENSG00000237276	12119	93
ENSG00000288398	2662	623
ENSG00000132881	5492	427
ENSG00000233929	186	79
ENSG00000037637	105641	3230
ENSG00000055070	45571	130
ENSG00000226457	381	0
ENSG00000187144	50308	55
ENSG00000157191	19358	2481
ENSG00000226029	7534	250
ENSG00000080947	31822	1820
ENSG00000206652	164	3
ENSG00000261135	1110	3
ENSG00000285853	6755	2
ENSG00000224174	1103	0
ENSG00000233421	2287	9
ENSG00000277344	144	0
ENSG00000225710	3881	7
ENSG00000219481	51244	4019
ENSG00000271732	339	6
ENSG00000215908	38980	3462
ENSG00000283773	343	0
ENSG00000186301	4668	0
ENSG00000282143	10646	30
ENSG00000207513	164	0
ENSG00000280114	7653	1633
ENSG00000236698	435	0
ENSG00000268869	32819	64
ENSG00000279151	4049	0
ENSG00000282740	10652	1
ENSG00000058453	232692	5937
ENSG00000227684	10689	0
ENSG00000207389	164	0
ENSG00000186715	15328	0
ENSG00000223643	1873	0
ENSG00000230239	3878	0
ENSG00000263811	73	0
ENSG00000228549	12715	0
ENSG00000277234	144	0
ENSG00000238142	2130	0
ENSG00000235241	508	0
ENSG00000207005	164	0
ENSG00000272426	438	0
ENSG00000117122	6131	403
ENSG00000286898	1491	0
ENSG00000226526	26166	9
ENSG00000159363	25971	644
ENSG00000117118	35311	1692
ENSG00000117115	52691	36618
ENSG00000204362	7835	0
ENSG00000282843	8502	0
ENSG00000142623	40880	10
ENSG00000142619	35136	79
ENSG00000266634	87	0
ENSG00000159339	55810	171
ENSG00000276747	29504	7
ENSG00000227751	623	0
ENSG00000179051	32918	5557
ENSG00000074964	158177	15415
ENSG00000236648	32354	13
ENSG00000117148	71731	12
ENSG00000284653	29901	0
ENSG00000261781	8756	0
ENSG00000117154	270686	376
ENSG00000280222	6473	0
ENSG00000230035	12418	0
ENSG00000225387	2686	1
ENSG00000179023	5145	202
ENSG00000235282	266	2
ENSG00000225478	223	1
ENSG00000009709	118021	22
ENSG00000179002	20084	0
ENSG00000159423	31295	4781
ENSG00000265606	74	0
ENSG00000221662	78	0
ENSG00000169991	52397	3204
ENSG00000272084	3402	23
ENSG00000127481	135757	13306
ENSG00000230424	30204	197
ENSG00000127463	35868	718
ENSG00000053372	8324	1478
ENSG00000286064	1787	298
ENSG00000211454	8213	143
ENSG00000162482	6198	305
ENSG00000270728	824	139
ENSG00000053371	8182	2381
ENSG00000200403	107	0
ENSG00000040487	16975	1066
ENSG00000077549	146765	10178
ENSG00000240490	288	0
ENSG00000173436	145419	108
ENSG00000201609	141	0
ENSG00000235185	5031	0
ENSG00000158747	61478	9402
ENSG00000270136	59861	0
ENSG00000226396	455	0
ENSG00000158748	16092	52
ENSG00000162542	117733	7033
ENSG00000178828	1255	6
ENSG00000235434	5136	5
ENSG00000169914	30551	963
ENSG00000188784	3609	1
ENSG00000242688	301	0
ENSG00000188257	4986	100
ENSG00000127472	63733	147
ENSG00000117215	7628	242
ENSG00000158786	11059	4
ENSG00000227066	6398	7
ENSG00000187980	16172	26
ENSG00000225986	2245	10
ENSG00000162543	9955	397
ENSG00000228105	1570	0
ENSG00000284710	2988	0
ENSG00000158816	63976	16
ENSG00000226664	28977	0
ENSG00000236963	70656	9
ENSG00000226487	950	0
ENSG00000284641	2716	1
ENSG00000284743	1619	1
ENSG00000162545	3820	1042
ENSG00000090432	8704	2762
ENSG00000215520	763	0
ENSG00000183114	2448	238
ENSG00000158825	29818	28
ENSG00000158828	18054	3116
ENSG00000284005	110	0
ENSG00000117242	9537	65
ENSG00000244038	9778	10661
ENSG00000117245	54004	146
ENSG00000235432	1280	0
ENSG00000189410	13107	9
ENSG00000233069	1073	2
ENSG00000127483	47058	6239
ENSG00000075151	370597	5529
ENSG00000251914	62	0
ENSG00000221808	119	0
ENSG00000233072	385	0
ENSG00000236073	115	0
ENSG00000235112	607	0
ENSG00000287192	1111	4
ENSG00000117298	128326	28505
ENSG00000236936	1170	0
ENSG00000231105	6585	0
ENSG00000236216	376	42
ENSG00000228823	1834	0
ENSG00000236009	1595	0
ENSG00000227001	3343	125
ENSG00000187952	1234	1374
ENSG00000186543	3241	15
ENSG00000142794	44878	1575
ENSG00000176378	327	0
ENSG00000162551	69014	11934
ENSG00000233431	4716	29
ENSG00000076864	73149	2527
ENSG00000090686	105309	2989
ENSG00000231978	307	0
ENSG00000187942	12961	547
ENSG00000142798	115067	139657
ENSG00000232037	483	0
ENSG00000283234	6193	6
ENSG00000219073	21621	5
ENSG00000285959	47012	11
ENSG00000273610	297	0
ENSG00000201919	104	0
ENSG00000142789	10886	0
ENSG00000278124	297	0
ENSG00000201273	104	0
ENSG00000228397	2059	0
ENSG00000218510	6666	0
ENSG00000070831	75850	4832
ENSG00000285752	24611	0
ENSG00000285794	222	0
ENSG00000230068	5003	0
ENSG00000271428	488	0
ENSG00000162552	26657	4402
ENSG00000285873	14552	201
ENSG00000266564	62	0
ENSG00000234397	492	34
ENSG00000279625	1853	1
ENSG00000184677	102320	3213
ENSG00000237200	2235	0
ENSG00000070886	40107	19
ENSG00000276835	109	0
ENSG00000173372	3051	1586
ENSG00000159189	4478	3108
ENSG00000173369	8876	1342
ENSG00000133216	210662	750
ENSG00000265422	82	0
ENSG00000225952	1137	0
ENSG00000264014	68	0
ENSG00000215906	12296	1
ENSG00000227868	5019	9
ENSG00000004487	64247	245
ENSG00000240553	67912	15
ENSG00000263793	68	0
ENSG00000266802	77	0
ENSG00000169641	93786	2660
ENSG00000229010	818	0
ENSG00000206935	107	0
ENSG00000252578	101	0
ENSG00000179546	2835	2
ENSG00000215381	460	2
ENSG00000261326	6182	251
ENSG00000284726	5070	120
ENSG00000125944	40566	4791
ENSG00000125945	10389	2684
ENSG00000249087	2843	94
ENSG00000201405	93	0
ENSG00000271420	650	9
ENSG00000204219	43840	1030
ENSG00000232482	1315	0
ENSG00000088280	56006	4451
ENSG00000007968	24796	167
ENSG00000235052	1777	1
ENSG00000117318	1576	227
ENSG00000285802	17186	3
ENSG00000197880	59074	27
ENSG00000229239	9966	6
ENSG00000142676	5094	12800
ENSG00000236810	71396	1037
ENSG00000011007	18905	0
ENSG00000057757	9815	1211
ENSG00000011009	4395	3132
ENSG00000117308	5183	659
ENSG00000117305	36736	1497
ENSG00000179163	23218	1207
ENSG00000188822	42848	61
ENSG00000229106	1267	0
ENSG00000232557	775	0
ENSG00000264926	78	0
ENSG00000230228	368	30
ENSG00000189266	6624	2720
ENSG00000188529	16581	3008
ENSG00000215905	639	1
ENSG00000225315	45965	21
ENSG00000142661	56101	168
ENSG00000230703	16792	0
ENSG00000142677	23370	376
ENSG00000185436	33792	956
ENSG00000230023	11454	2
ENSG00000232298	14346	16
ENSG00000158055	45126	113
ENSG00000001460	59936	318
ENSG00000001461	57175	3967
ENSG00000286061	39147	13
ENSG00000117602	38690	440
ENSG00000264443	17223	12
ENSG00000184454	53242	775
ENSG00000227312	348	0
ENSG00000239106	103	0
ENSG00000133226	41566	5233
ENSG00000284699	12703	20
ENSG00000169504	98940	5748
ENSG00000238482	107	0
ENSG00000020633	65611	3359
ENSG00000278034	72	0
ENSG00000229162	1753	0
ENSG00000261025	2443	1
ENSG00000264371	84	0
ENSG00000285823	6269	0
ENSG00000233755	69414	20
ENSG00000233419	402	1
ENSG00000231953	1299	1
ENSG00000117614	10227	806
ENSG00000284602	2190	20
ENSG00000284657	760	12
ENSG00000117616	95965	4048
ENSG00000272432	485	0
ENSG00000261349	1035	0
ENSG00000187010	58053	0
ENSG00000224183	480	0
ENSG00000259984	1037	0
ENSG00000183726	24045	2841
ENSG00000188672	67944	615
ENSG00000238084	478	0
ENSG00000204178	69352	1566
ENSG00000157978	25281	3078
ENSG00000225643	8879	56
ENSG00000117643	168740	1350
ENSG00000233478	14568	0
ENSG00000162430	18046	4215
ENSG00000255054	12275	0
ENSG00000228172	4049	0
ENSG00000117640	14303	1315
ENSG00000127423	27546	33
ENSG00000272478	222	0
ENSG00000236528	3808	1
ENSG00000182749	10044	639
ENSG00000207302	110	0
ENSG00000117632	22811	1029
ENSG00000229786	251	0
ENSG00000223624	140	0
ENSG00000283938	93	0
ENSG00000158006	38351	1245
ENSG00000207237	104	0
ENSG00000252190	125	1
ENSG00000252691	84	1
ENSG00000158008	16581	2971
ENSG00000158014	8867	46
ENSG00000284309	2435	1
ENSG00000158022	17133	34
ENSG00000175087	14391	363
ENSG00000197245	4884	196
ENSG00000282872	4421	2
ENSG00000236782	2316	46
ENSG00000142684	966	0
ENSG00000142675	12401	2787
ENSG00000188782	12408	9
ENSG00000236155	20100	17
ENSG00000278572	1896	0
ENSG00000130695	44609	597
ENSG00000270733	358	0
ENSG00000142669	1437	2438
ENSG00000158062	37036	1915
ENSG00000169442	2566	49
ENSG00000176092	38383	44
ENSG00000225854	346	0
ENSG00000176083	12889	90
ENSG00000131914	18912	5
ENSG00000117682	39025	2569
ENSG00000223583	535	0
ENSG00000225891	5259	0
ENSG00000198830	4203	3975
ENSG00000224129	897	0
ENSG00000117676	45270	3415
ENSG00000238705	52	0
ENSG00000243905	304	0
ENSG00000252802	102	0
ENSG00000252429	64	0
ENSG00000229247	238	0
ENSG00000238316	104	1
ENSG00000235069	235	0
ENSG00000260063	2000	18
ENSG00000117713	88869	20457
ENSG00000060642	13606	1043
ENSG00000241188	291	3
ENSG00000287810	177	2
ENSG00000204160	30917	2292
ENSG00000175793	1308	1271
ENSG00000142751	14152	1344
ENSG00000226698	2113	0
ENSG00000198746	9980	798
ENSG00000090273	46634	2904
ENSG00000131910	2487	0
ENSG00000175707	10907	1544
ENSG00000172746	811	271
ENSG00000224064	397	12
ENSG00000225294	444	9
ENSG00000253368	7195	1133
ENSG00000158246	7831	2083
ENSG00000090020	68173	8147
ENSG00000229985	527	4
ENSG00000214973	640	58
ENSG00000225159	867	482
ENSG00000225990	220	0
ENSG00000224311	5247	5
ENSG00000142784	74005	12455
ENSG00000252098	104	0
ENSG00000243659	599	29
ENSG00000186501	14256	3274
ENSG00000206888	107	0
ENSG00000241547	468	0
ENSG00000142765	11918	3658
ENSG00000142733	12895	11406
ENSG00000142748	5713	100
ENSG00000174950	4158	665
ENSG00000231207	678	1
ENSG00000181773	3193	88
ENSG00000158195	85938	23429
ENSG00000241169	2385	0
ENSG00000237429	4757	43
ENSG00000126705	70397	19675
ENSG00000000938	23122	851
ENSG00000235912	192	22
ENSG00000233975	2395	2
ENSG00000126709	6135	276
ENSG00000225886	33596	12
ENSG00000206767	107	0
ENSG00000226662	662	0
ENSG00000207095	105	0
ENSG00000287244	935	0
ENSG00000009780	37144	559
ENSG00000231344	349	0
ENSG00000230833	676	0
ENSG00000117758	51225	3396
ENSG00000269971	184	0
ENSG00000270031	359	0
ENSG00000223062	106	0
ENSG00000286433	3398	8
ENSG00000117751	20895	1313
ENSG00000252947	166	0
ENSG00000130775	14143	703
ENSG00000117748	23223	1373
ENSG00000130768	24158	82
ENSG00000227050	21319	10
ENSG00000158156	8121	902
ENSG00000158161	118294	2537
ENSG00000238231	367	0
ENSG00000240750	297	0
ENSG00000228589	681	551
ENSG00000228943	560	4
ENSG00000214812	873	4
ENSG00000253005	105	0
ENSG00000169403	46771	409
ENSG00000126698	33574	1839
ENSG00000130770	10798	742
ENSG00000270605	1945	0
ENSG00000271398	425	0
ENSG00000130766	22974	1727
ENSG00000130772	6964	408
ENSG00000204138	130783	3942
ENSG00000206779	101	0
ENSG00000229820	394	0
ENSG00000221216	119	0
ENSG00000180198	33358	2577
ENSG00000242125	4913	0
ENSG00000274266	206	0
ENSG00000200087	204	0
ENSG00000231468	910	0
ENSG00000279443	2083	44
ENSG00000180098	25461	617
ENSG00000197989	4595	275
ENSG00000221539	74	0
ENSG00000278274	130	0
ENSG00000273544	132	0
ENSG00000280498	135	0
ENSG00000274582	137	0
ENSG00000120656	53763	416
ENSG00000188060	3244	0
ENSG00000229388	5354	26
ENSG00000274978	134	0
ENSG00000270103	131	0
ENSG00000162419	50622	1050
ENSG00000252777	130	0
ENSG00000198492	33155	3482
ENSG00000116329	59126	32
ENSG00000233427	6854	2
ENSG00000199756	110	0
ENSG00000159023	232956	2737
ENSG00000225616	331	0
ENSG00000206704	101	0
ENSG00000277958	282	0
ENSG00000253304	4475	917
ENSG00000225750	2501	10
ENSG00000116350	34158	4324
ENSG00000277916	169	0
ENSG00000116353	38286	1896
ENSG00000237934	884	0
ENSG00000060656	90298	9748
ENSG00000230523	20495	13
ENSG00000225011	8701	18
ENSG00000228176	697	0
ENSG00000284676	35423	20
