GeneID	Length	third.sorted.bam
ENSG00000189409	2205	172
ENSG00000248333	3488	4419
ENSG00000272004	400	2
ENSG00000189339	8462	3406
ENSG00000269737	1819	86
ENSG00000215914	1017	159
ENSG00000008128	5085	1175
ENSG00000268575	5079	122
ENSG00000227775	2759	33
ENSG00000215790	7713	1614
ENSG00000008130	5570	3448
ENSG00000078369	6417	4177
ENSG00000231050	906	11
ENSG00000169885	2040	432
ENSG00000178821	1600	60
ENSG00000142609	10422	54
ENSG00000233542	2063	15
ENSG00000187730	5525	314
ENSG00000226969	538	2
ENSG00000067606	7695	922
ENSG00000271806	4196	69
ENSG00000182873	1734	208
ENSG00000162585	10916	1189
ENSG00000234396	326	7
ENSG00000157933	6550	1722
ENSG00000287356	5794	180
ENSG00000116151	11337	262
ENSG00000272161	493	5
ENSG00000269896	2407	142
ENSG00000272420	568	10
ENSG00000157916	5689	1208
ENSG00000157911	3782	750
ENSG00000149527	10809	619
ENSG00000224387	455	4
ENSG00000229393	514	21
ENSG00000157881	5072	621
ENSG00000197921	1324	6
ENSG00000272449	1531	227
ENSG00000238164	6137	184
ENSG00000157873	6219	2446
ENSG00000225931	1297	26
ENSG00000228037	626	10
ENSG00000157870	3371	2061
ENSG00000142606	3870	198
ENSG00000237058	373	0
ENSG00000215912	8814	81
ENSG00000285945	593	0
ENSG00000283259	1565	4
ENSG00000233234	607	0
ENSG00000287396	663	0
ENSG00000231630	429	0
ENSG00000284745	1654	0
ENSG00000169717	1437	0
ENSG00000177133	5600	8
ENSG00000142611	9767	39
ENSG00000283572	61	1
ENSG00000226286	469	3
ENSG00000279839	2677	5
ENSG00000272235	3461	1
ENSG00000287828	728	3
ENSG00000286518	2784	1
ENSG00000130762	5324	4207
ENSG00000272088	382	14
ENSG00000162591	9021	13623
ENSG00000207776	96	0
ENSG00000238260	622	51
ENSG00000158109	2401	433
ENSG00000116213	7634	570
ENSG00000078900	6767	106
ENSG00000227589	754	1
ENSG00000235131	351	0
ENSG00000227372	9701	672
ENSG00000276189	161	0
ENSG00000162592	4238	19
ENSG00000235169	1087	65
ENSG00000130764	4509	570
ENSG00000266075	297	24
ENSG00000272153	531	27
ENSG00000116198	7871	980
ENSG00000169598	3870	102
ENSG00000198912	4388	316
ENSG00000236423	4084	71
ENSG00000233304	5054	0
ENSG00000226374	2168	0
ENSG00000284668	1835	1
ENSG00000284703	4817	4
ENSG00000229280	372	1
ENSG00000235054	2574	0
ENSG00000284694	3402	0
ENSG00000227169	356	0
ENSG00000232596	3328	0
ENSG00000196581	12528	20
ENSG00000287586	3225	4
ENSG00000284739	464	0
ENSG00000284674	1580	0
ENSG00000231510	449	0
ENSG00000284616	1225	0
ENSG00000284692	2316	2
ENSG00000284666	609	0
ENSG00000260972	1697	0
ENSG00000283356	135	0
ENSG00000236948	1095	1
ENSG00000264341	73	0
ENSG00000264101	70	0
ENSG00000131697	13167	651
ENSG00000069424	17329	1151
ENSG00000116254	10094	109
ENSG00000285629	663	1
ENSG00000116251	4665	1154
ENSG00000226944	378	6
ENSG00000158286	6595	387
ENSG00000116237	4910	875
ENSG00000225077	2358	21
ENSG00000173673	710	0
ENSG00000158292	4198	2983
ENSG00000097021	4124	1162
ENSG00000271746	837	0
ENSG00000069812	5407	189
ENSG00000187017	6952	926
ENSG00000265392	63	0
ENSG00000231868	351	49
ENSG00000215788	4283	1718
ENSG00000171680	7053	2401
ENSG00000162408	7271	364
ENSG00000253022	111	4
ENSG00000229519	401	30
ENSG00000173662	2764	10
ENSG00000204859	4510	1278
ENSG00000162413	6901	397
ENSG00000116273	3632	288
ENSG00000041988	4072	312
ENSG00000007923	5083	1086
ENSG00000228750	2188	2
ENSG00000284744	987	0
ENSG00000237436	415	13
ENSG00000171735	9903	731
ENSG00000227950	286	1
ENSG00000237365	349	0
ENSG00000207056	165	1
ENSG00000237402	365	0
ENSG00000237728	744	0
ENSG00000225126	361	0
ENSG00000270171	1721	26
ENSG00000270035	570	20
ENSG00000269978	267	82
ENSG00000049245	2733	678
ENSG00000269925	393	15
ENSG00000049246	8099	130
ENSG00000236266	830	2
ENSG00000049247	1791	5
ENSG00000049249	6354	111
ENSG00000270330	355	0
ENSG00000116288	2397	1262
ENSG00000200344	103	6
ENSG00000284747	4116	257
ENSG00000284716	1043	47
ENSG00000116285	4179	1032
ENSG00000238290	2044	11
ENSG00000232848	800	66
ENSG00000229305	1075	1
ENSG00000227634	1001	1
ENSG00000200975	164	0
ENSG00000233645	477	0
ENSG00000251977	107	0
ENSG00000162426	2888	45
ENSG00000252254	113	0
ENSG00000142599	14112	3881
ENSG00000232912	1178	33
ENSG00000221083	125	22
ENSG00000270282	369	22
ENSG00000234619	658	23
ENSG00000224315	703	19
ENSG00000222511	103	4
ENSG00000226545	415	28
ENSG00000228423	353	47
ENSG00000229716	369	2
ENSG00000074800	5216	10328
ENSG00000274258	89	9
ENSG00000230679	456	13
ENSG00000201725	107	2
ENSG00000238249	743	97
ENSG00000232208	352	2
ENSG00000232663	163	0
ENSG00000131686	2662	2
ENSG00000265141	299	0
ENSG00000197241	1539	0
ENSG00000142583	6632	166
ENSG00000252404	184	0
ENSG00000180758	5304	548
ENSG00000228526	8702	829
ENSG00000284357	110	0
ENSG00000234546	2141	117
ENSG00000049239	9322	1817
ENSG00000171621	3389	569
ENSG00000284652	1765	3
ENSG00000284693	2623	8
ENSG00000252956	110	1
ENSG00000235263	708	0
ENSG00000171612	3865	277
ENSG00000231181	559	99
ENSG00000188807	6981	677
ENSG00000171608	6333	481
ENSG00000179840	1823	9
ENSG00000233268	421	2
ENSG00000231789	939	8
ENSG00000171603	5241	3320
ENSG00000271264	246	6
ENSG00000280113	1983	4
ENSG00000178585	3339	1100
ENSG00000223989	424	0
ENSG00000285701	762	65
ENSG00000162441	5459	522
ENSG00000228150	440	5
ENSG00000173614	4610	110
ENSG00000202415	319	7
ENSG00000283611	444	17
ENSG00000265521	78	1
ENSG00000241326	436	0
ENSG00000162444	862	19
ENSG00000130939	9237	743
ENSG00000224340	337	1
ENSG00000233623	680	5
ENSG00000201746	107	6
ENSG00000054523	17720	1169
ENSG00000264881	86	0
ENSG00000199562	107	23
ENSG00000264501	293	0
ENSG00000284735	2381	52
ENSG00000284642	1477	37
ENSG00000142657	3333	3691
ENSG00000271989	797	0
ENSG00000251503	2244	9
ENSG00000175279	1748	31
ENSG00000241563	914	13
ENSG00000160049	6625	1504
ENSG00000203469	467	0
ENSG00000142655	2932	801
ENSG00000287727	2876	15
ENSG00000243267	280	29
ENSG00000130940	11336	1618
ENSG00000272078	7923	102
ENSG00000225158	238	0
ENSG00000175262	3573	349
ENSG00000215785	494	2
ENSG00000120948	5317	1851
ENSG00000277726	2205	0
ENSG00000009724	4257	43
ENSG00000271895	870	24
ENSG00000116649	1894	1949
ENSG00000171824	5991	1230
ENSG00000226849	2682	25
ENSG00000230337	536	18
ENSG00000198793	12163	1928
ENSG00000225602	763	6
ENSG00000253086	103	0
ENSG00000171819	2224	9
ENSG00000207451	107	0
ENSG00000238173	150	0
ENSG00000120942	5082	439
ENSG00000238199	437	5
ENSG00000284646	742	3
ENSG00000224338	565	0
ENSG00000204624	6120	573
ENSG00000285833	1051	0
ENSG00000235643	1351	4
ENSG00000284708	2094	10
ENSG00000116661	3163	701
ENSG00000132879	3527	1296
ENSG00000116663	1735	482
ENSG00000116670	3324	843
ENSG00000162490	7365	79
ENSG00000177674	2435	1622
ENSG00000215910	6499	3
ENSG00000177553	1868	0
ENSG00000177000	11513	1461
ENSG00000011021	8173	894
ENSG00000276470	173	0
ENSG00000278852	149	0
ENSG00000175206	1120	11
ENSG00000275915	108	0
ENSG00000120937	708	0
ENSG00000224904	2637	18
ENSG00000285646	3071	6
ENSG00000199347	120	0
ENSG00000201801	120	0
ENSG00000116685	3281	1957
ENSG00000083444	5320	4467
ENSG00000287384	595	5
ENSG00000116688	4973	2228
ENSG00000270914	93	1
ENSG00000116691	2821	2278
ENSG00000202461	113	4
ENSG00000276869	65	0
ENSG00000243539	275	1
ENSG00000120949	3812	72
ENSG00000201135	104	0
ENSG00000227875	255	0
ENSG00000285604	1196	3
ENSG00000283789	96	0
ENSG00000028137	3778	801
ENSG00000263676	61	0
ENSG00000225196	316	0
ENSG00000252969	124	1
ENSG00000048707	20768	1323
ENSG00000239149	152	24
ENSG00000229484	438	4
ENSG00000162496	3515	1161
ENSG00000221340	101	7
ENSG00000276830	67	4
ENSG00000272482	345	4
ENSG00000204518	1575	0
ENSG00000226166	112	0
ENSG00000188984	4055	0
ENSG00000157330	4133	4
ENSG00000116726	1786	0
ENSG00000116721	2439	0
ENSG00000228338	378	0
ENSG00000239810	1845	0
ENSG00000231103	1417	0
ENSG00000179172	1134	62
ENSG00000120952	1642	0
ENSG00000243073	1840	0
ENSG00000187545	1525	0
ENSG00000204510	1660	0
ENSG00000207434	107	0
ENSG00000234064	1139	0
ENSG00000232423	1784	0
ENSG00000274178	1450	0
ENSG00000274764	1863	0
ENSG00000277058	1148	1
ENSG00000229571	1918	0
ENSG00000277862	1447	0
ENSG00000236179	891	0
ENSG00000275774	1156	24
ENSG00000229978	1452	0
ENSG00000233336	384	0
ENSG00000280267	1863	0
ENSG00000179412	1718	14
ENSG00000204505	1863	0
ENSG00000279169	2442	0
ENSG00000279804	2067	0
ENSG00000250894	1371	2
ENSG00000270601	1720	0
ENSG00000231219	1068	0
ENSG00000207511	107	0
ENSG00000182330	1937	0
ENSG00000237700	1518	0
ENSG00000204501	1865	0
ENSG00000228229	384	0
ENSG00000204481	2443	0
ENSG00000204480	1440	0
ENSG00000204479	1578	1
ENSG00000204478	1597	0
ENSG00000162494	2168	0
ENSG00000259961	477	0
ENSG00000215909	371	0
ENSG00000162493	3707	89
ENSG00000222952	101	0
ENSG00000237445	379	0
ENSG00000253085	130	1
ENSG00000116731	10923	949
ENSG00000189337	13860	724
ENSG00000252151	103	0
ENSG00000231606	1549	32
ENSG00000234593	2858	84
ENSG00000235829	326	4
ENSG00000287756	1453	26
ENSG00000175147	11973	228
ENSG00000171729	2238	602
ENSG00000204464	559	36
ENSG00000215720	710	14
ENSG00000278480	966	20
ENSG00000142621	12805	172
ENSG00000233485	3105	1
ENSG00000236045	727	4
ENSG00000228140	5178	15
ENSG00000142634	2534	1855
ENSG00000162438	3483	5
ENSG00000142615	1519	3
ENSG00000215704	1449	3
ENSG00000132906	5269	293
ENSG00000116138	8563	344
ENSG00000251866	140	1
ENSG00000272510	346	3
ENSG00000116771	3095	43
ENSG00000237301	2845	20
ENSG00000235084	447	179
ENSG00000252417	68	1
ENSG00000236500	225	0
ENSG00000197312	12178	975
ENSG00000215695	1854	0
ENSG00000271742	256	1
ENSG00000116786	4134	2657
ENSG00000237938	1533	81
ENSG00000162461	3338	66
ENSG00000224459	639	1
ENSG00000162460	1443	5
ENSG00000162458	4351	3342
ENSG00000224321	490	335
ENSG00000233954	2180	250
ENSG00000178715	438	87
ENSG00000179743	2473	74
ENSG00000065526	14336	3804
ENSG00000270620	211	2
ENSG00000116809	4240	1722
ENSG00000234607	563	4
ENSG00000231353	260	0
ENSG00000275503	236	0
ENSG00000224966	962	2
ENSG00000183888	3039	58
ENSG00000233078	466	0
ENSG00000173641	3910	56
ENSG00000186510	3476	164
ENSG00000232456	704	6
ENSG00000184908	2939	14
ENSG00000185519	1720	25
ENSG00000142627	4141	628
ENSG00000227959	904	3
ENSG00000224621	544	11
ENSG00000142632	3788	1586
ENSG00000234166	439	0
ENSG00000237276	1990	51
ENSG00000288398	2662	235
ENSG00000132881	1574	72
ENSG00000233929	186	15
ENSG00000037637	9009	834
ENSG00000055070	4742	1343
ENSG00000226457	381	14
ENSG00000187144	4506	4
ENSG00000157191	5510	660
ENSG00000226029	3245	204
ENSG00000080947	6905	620
ENSG00000206652	164	10
ENSG00000261135	1110	7
ENSG00000285853	1558	2
ENSG00000224174	327	0
ENSG00000233421	2068	2
ENSG00000277344	144	0
ENSG00000225710	882	4
ENSG00000219481	12212	2129
ENSG00000271732	339	0
ENSG00000215908	5606	1231
ENSG00000283773	166	0
ENSG00000186301	2291	1288
ENSG00000282143	817	1
ENSG00000207513	164	5
ENSG00000280114	1351	27
ENSG00000236698	435	205
ENSG00000268869	4903	73
ENSG00000279151	406	5
ENSG00000282740	819	1
ENSG00000058453	8875	2668
ENSG00000227684	762	18
ENSG00000207389	164	2
ENSG00000186715	5298	1141
ENSG00000223643	837	0
ENSG00000230239	882	0
ENSG00000263811	73	0
ENSG00000228549	3293	7
ENSG00000277234	144	0
ENSG00000238142	2130	4
ENSG00000235241	508	0
ENSG00000207005	164	3
ENSG00000272426	438	7
ENSG00000117122	2712	827
ENSG00000286898	385	1
ENSG00000226526	636	1
ENSG00000159363	5253	2539
ENSG00000117118	2324	610
ENSG00000117115	6000	5710
ENSG00000204362	4676	1
ENSG00000282843	1228	0
ENSG00000142623	4903	8
ENSG00000142619	3189	74
ENSG00000266634	87	0
ENSG00000159339	2971	1
ENSG00000276747	2396	6
ENSG00000227751	311	0
ENSG00000179051	4079	2416
ENSG00000074964	7954	2017
ENSG00000236648	1328	0
ENSG00000117148	1844	2
ENSG00000284653	2013	0
ENSG00000261781	2471	0
ENSG00000117154	3033	20
ENSG00000280222	6473	7
ENSG00000230035	430	0
ENSG00000225387	491	0
ENSG00000179023	5145	5
ENSG00000235282	266	2
ENSG00000225478	223	4
ENSG00000009709	6473	6
ENSG00000179002	2542	0
ENSG00000159423	3632	4888
ENSG00000265606	74	0
ENSG00000221662	78	0
ENSG00000169991	6179	238
ENSG00000272084	3402	32
ENSG00000127481	24661	3447
ENSG00000230424	507	5
ENSG00000127463	9602	986
ENSG00000053372	2556	773
ENSG00000286064	339	22
ENSG00000211454	2768	127
ENSG00000162482	1215	272
ENSG00000270728	525	38
ENSG00000053371	1781	438
ENSG00000200403	107	21
ENSG00000040487	2686	1056
ENSG00000077549	19094	6901
ENSG00000240490	288	12
ENSG00000173436	5480	174
ENSG00000201609	141	0
ENSG00000235185	207	0
ENSG00000158747	3448	4027
ENSG00000270136	1276	1
ENSG00000226396	455	47
ENSG00000158748	3800	45
ENSG00000162542	4054	583
ENSG00000178828	1255	0
ENSG00000235434	447	0
ENSG00000169914	6885	181
ENSG00000188784	785	0
ENSG00000242688	301	0
ENSG00000188257	1685	617
ENSG00000127472	3342	18
ENSG00000117215	2681	34
ENSG00000158786	6438	9
ENSG00000227066	2930	5
ENSG00000187980	3298	26
ENSG00000225986	510	25
ENSG00000162543	5562	115
ENSG00000228105	646	0
ENSG00000284710	1639	0
ENSG00000158816	6377	0
ENSG00000226664	229	0
ENSG00000236963	4303	5
ENSG00000226487	376	0
ENSG00000284641	1340	0
ENSG00000284743	674	0
ENSG00000162545	2605	1578
ENSG00000090432	2428	341
ENSG00000215520	763	0
ENSG00000183114	2448	36
ENSG00000158825	820	57
ENSG00000158828	4833	267
ENSG00000284005	110	0
ENSG00000117242	4443	95
ENSG00000244038	2721	4461
ENSG00000117245	4470	31
ENSG00000235432	479	0
ENSG00000189410	4487	24
ENSG00000233069	299	0
ENSG00000127483	9815	1793
ENSG00000075151	9596	1864
ENSG00000251914	62	2
ENSG00000221808	119	1
ENSG00000233072	385	36
ENSG00000236073	115	5
ENSG00000235112	296	9
ENSG00000287192	1111	10
ENSG00000117298	7308	4032
ENSG00000236936	723	13
ENSG00000231105	2579	66
ENSG00000236216	376	27
ENSG00000228823	649	1
ENSG00000236009	761	1
ENSG00000227001	661	44
ENSG00000187952	1234	159
ENSG00000186543	830	6
ENSG00000142794	6812	542
ENSG00000176378	327	3
ENSG00000162551	2980	2043
ENSG00000233431	821	4
ENSG00000076864	5755	5641
ENSG00000090686	9497	1287
ENSG00000231978	307	3
ENSG00000187942	4494	193
ENSG00000142798	18118	9780
ENSG00000232037	483	27
ENSG00000283234	1162	11
ENSG00000219073	1540	4
ENSG00000285959	1611	1
ENSG00000273610	297	0
ENSG00000201919	104	0
ENSG00000142789	1226	0
ENSG00000278124	297	0
ENSG00000201273	104	0
ENSG00000228397	1588	1
ENSG00000218510	3764	61
ENSG00000070831	16278	1886
ENSG00000285752	2574	31
ENSG00000285794	222	0
ENSG00000230068	692	6
ENSG00000271428	488	6
ENSG00000162552	4650	154
ENSG00000285873	811	38
ENSG00000266564	62	0
ENSG00000234397	492	67
ENSG00000279625	1853	0
ENSG00000184677	9169	1156
ENSG00000237200	273	8
ENSG00000070886	5434	143
ENSG00000276835	109	0
ENSG00000173372	1220	1194
ENSG00000159189	1332	1558
ENSG00000173369	1492	962
ENSG00000133216	12516	69
ENSG00000265422	82	0
ENSG00000225952	480	1
ENSG00000264014	68	0
ENSG00000215906	1641	0
ENSG00000227868	660	4
ENSG00000004487	5440	1291
ENSG00000240553	666	0
ENSG00000263793	68	0
ENSG00000266802	77	0
ENSG00000169641	9658	1375
ENSG00000229010	818	16
ENSG00000206935	107	1
ENSG00000252578	101	0
ENSG00000179546	2835	67
ENSG00000215381	460	4
ENSG00000261326	6182	246
ENSG00000284726	604	27
ENSG00000125944	8676	1673
ENSG00000125945	4786	539
ENSG00000249087	2674	99
ENSG00000201405	93	0
ENSG00000271420	650	7
ENSG00000204219	3675	847
ENSG00000232482	426	14
ENSG00000088280	4988	1943
ENSG00000007968	5462	180
ENSG00000235052	456	9
ENSG00000117318	1496	147
ENSG00000285802	1322	0
ENSG00000197880	2142	5
ENSG00000229239	1186	0
ENSG00000142676	2659	3811
ENSG00000236810	3086	135
ENSG00000011007	5391	1493
ENSG00000057757	2173	349
ENSG00000011009	2021	2923
ENSG00000117308	3955	3887
ENSG00000117305	5628	259
ENSG00000179163	2047	547
ENSG00000188822	5265	13
ENSG00000229106	1267	37
ENSG00000232557	210	0
ENSG00000264926	78	0
ENSG00000230228	368	98
ENSG00000189266	2763	1201
ENSG00000188529	11860	1503
ENSG00000215905	328	0
ENSG00000225315	454	0
ENSG00000142661	9214	77
ENSG00000230703	461	0
ENSG00000142677	2817	9
ENSG00000185436	4940	35
ENSG00000230023	1849	2
ENSG00000232298	856	2
ENSG00000158055	3905	228
ENSG00000001460	8511	177
ENSG00000001461	9396	232
ENSG00000286061	762	5
ENSG00000117602	7138	267
ENSG00000264443	1445	0
ENSG00000184454	4146	7
ENSG00000227312	348	1
ENSG00000239106	103	0
ENSG00000133226	7922	3258
ENSG00000284699	886	4
ENSG00000169504	4467	723
ENSG00000238482	107	0
ENSG00000020633	4523	585
ENSG00000278034	72	1
ENSG00000229162	820	7
ENSG00000261025	2443	0
ENSG00000264371	84	0
ENSG00000285823	1431	0
ENSG00000233755	863	0
ENSG00000233419	402	0
ENSG00000231953	988	1
ENSG00000117614	3773	334
ENSG00000284602	2190	18
ENSG00000284657	760	4
ENSG00000117616	6730	759
ENSG00000272432	485	18
ENSG00000261349	459	9
ENSG00000187010	3313	19
ENSG00000224183	480	40
ENSG00000259984	459	2
ENSG00000183726	3010	1634
ENSG00000188672	2433	14
ENSG00000238084	478	47
ENSG00000204178	3979	898
ENSG00000157978	5371	1749
ENSG00000225643	483	8
ENSG00000117643	9026	536
ENSG00000233478	2224	37
ENSG00000162430	4421	3619
ENSG00000255054	792	0
ENSG00000228172	2793	9
ENSG00000117640	5797	1653
ENSG00000127423	2408	42
ENSG00000272478	222	0
ENSG00000236528	849	0
ENSG00000182749	3297	157
ENSG00000207302	110	0
ENSG00000117632	6247	2293
ENSG00000229786	251	3
ENSG00000223624	140	0
ENSG00000283938	93	0
ENSG00000158006	3795	799
ENSG00000207237	104	2
ENSG00000252190	125	0
ENSG00000252691	84	0
ENSG00000158008	4542	26
ENSG00000158014	3483	14
ENSG00000284309	941	0
ENSG00000158022	2573	0
ENSG00000175087	4560	124
ENSG00000197245	2799	51
ENSG00000282872	761	1
ENSG00000236782	2073	13
ENSG00000142684	732	0
ENSG00000142675	3960	2040
ENSG00000188782	2030	4
ENSG00000236155	3191	1
ENSG00000278572	899	22
ENSG00000130695	5145	379
ENSG00000270733	358	11
ENSG00000142669	876	4553
ENSG00000158062	4704	1352
ENSG00000169442	934	42
ENSG00000176092	6895	257
ENSG00000225854	346	1
ENSG00000176083	2379	307
ENSG00000131914	3975	11
ENSG00000117682	5608	633
ENSG00000223583	535	37
ENSG00000225891	1261	29
ENSG00000198830	3189	2834
ENSG00000224129	897	0
ENSG00000117676	5884	1914
ENSG00000238705	52	0
ENSG00000243905	304	0
ENSG00000252802	102	0
ENSG00000252429	64	0
ENSG00000229247	238	0
ENSG00000238316	104	0
ENSG00000235069	235	0
ENSG00000260063	2000	20
ENSG00000117713	15939	6138
ENSG00000060642	5872	336
ENSG00000241188	291	3
ENSG00000287810	177	0
ENSG00000204160	5460	921
ENSG00000175793	1308	2451
ENSG00000142751	4966	518
ENSG00000226698	306	0
ENSG00000198746	2226	207
ENSG00000090273	2848	1292
ENSG00000131910	1165	0
ENSG00000175707	1855	560
ENSG00000172746	497	152
ENSG00000224064	397	15
ENSG00000225294	444	10
ENSG00000253368	1979	18
ENSG00000158246	2382	173
ENSG00000090020	6195	2240
ENSG00000229985	527	1
ENSG00000214973	640	25
ENSG00000225159	867	208
ENSG00000225990	220	0
ENSG00000224311	379	3
ENSG00000142784	5911	2463
ENSG00000252098	104	2
ENSG00000243659	282	41
ENSG00000186501	4476	956
ENSG00000206888	107	6
ENSG00000241547	468	168
ENSG00000142765	5584	2110
ENSG00000142733	5746	4589
ENSG00000142748	2167	96
ENSG00000174950	1994	43
ENSG00000231207	355	0
ENSG00000181773	2137	110
ENSG00000158195	5681	2086
ENSG00000241169	428	7
ENSG00000237429	283	8
ENSG00000126705	8297	3644
ENSG00000000938	3382	265
ENSG00000235912	192	32
ENSG00000233975	441	0
ENSG00000126709	842	1141
ENSG00000225886	1651	26
ENSG00000206767	107	0
ENSG00000226662	662	0
ENSG00000207095	105	0
ENSG00000287244	935	1
ENSG00000009780	4034	163
ENSG00000231344	349	13
ENSG00000230833	676	5
ENSG00000117758	3801	478
ENSG00000269971	184	2
ENSG00000270031	359	3
ENSG00000223062	106	0
ENSG00000286433	1471	0
ENSG00000117751	2815	564
ENSG00000252947	166	1
ENSG00000130775	4621	422
ENSG00000117748	1981	351
ENSG00000130768	2663	777
ENSG00000227050	491	0
ENSG00000158156	2229	471
ENSG00000158161	6424	298
ENSG00000238231	367	25
ENSG00000240750	297	2
ENSG00000228589	681	511
ENSG00000228943	235	0
ENSG00000214812	557	1
ENSG00000253005	105	0
ENSG00000169403	4208	189
ENSG00000126698	2892	1164
ENSG00000130770	2225	1199
ENSG00000270605	1945	62
ENSG00000271398	425	1
ENSG00000130766	3462	284
ENSG00000130772	2017	166
ENSG00000204138	7317	1829
ENSG00000206779	101	4
ENSG00000229820	394	27
ENSG00000221216	119	18
ENSG00000180198	3888	1295
ENSG00000242125	4088	256
ENSG00000274266	206	0
ENSG00000200087	204	5
ENSG00000231468	611	22
ENSG00000279443	2083	57
ENSG00000180098	4311	382
ENSG00000197989	4266	212
ENSG00000221539	74	3
ENSG00000278274	130	0
ENSG00000273544	132	0
ENSG00000280498	135	0
ENSG00000274582	137	0
ENSG00000120656	2337	204
ENSG00000188060	2200	78
ENSG00000229388	978	5
ENSG00000274978	134	0
ENSG00000270103	131	0
ENSG00000162419	6459	382
ENSG00000252777	130	1
ENSG00000198492	3729	1743
ENSG00000116329	9345	51
ENSG00000233427	1085	3
ENSG00000199756	110	0
ENSG00000159023	19993	731
ENSG00000225616	331	8
ENSG00000206704	101	0
ENSG00000277958	282	5
ENSG00000253304	2606	59
ENSG00000225750	279	1
ENSG00000116350	8806	2085
ENSG00000277916	169	0
ENSG00000116353	4138	420
ENSG00000237934	573	3
ENSG00000060656	6682	909
ENSG00000230523	2148	1
ENSG00000225011	349	0
ENSG00000228176	498	0
ENSG00000284676	1953	0
ENSG00000270927	493	0
ENSG00000233399	1519	0
ENSG00000233372	551	0
ENSG00000231251	93	0
ENSG00000236335	507	0
ENSG00000231949	481	0
ENSG00000162510	4604	11
ENSG00000186056	4024	72
ENSG00000287510	1077	1
ENSG00000162511	3228	1246
ENSG00000264773	77	1
ENSG00000229607	444	0
ENSG00000223382	2111	5
ENSG00000222784	288	1
ENSG00000235143	1747	0
