GeneID	Length	first.sorted.bam
ENSG00000162592	25186	119
ENSG00000235169	3328	109
ENSG00000130764	17940	363
ENSG00000266075	297	0
ENSG00000272153	531	0
ENSG00000116198	45129	945
ENSG00000169598	28163	274
ENSG00000198912	11169	142
ENSG00000236423	16874	77
ENSG00000233304	14777	11
ENSG00000226374	4478	0
ENSG00000284668	36572	26
ENSG00000284703	6588	3
ENSG00000229280	372	0
ENSG00000235054	12663	4
ENSG00000284694	5245	3
ENSG00000227169	411	0
ENSG00000232596	22536	42
ENSG00000196581	137926	68
ENSG00000287586	4782	0
ENSG00000284739	9345	3
ENSG00000284674	8188	7
ENSG00000231510	4441	7
ENSG00000284616	5467	6
ENSG00000284692	14322	7
ENSG00000284666	1242	0
ENSG00000260972	1697	2
ENSG00000283356	135	1
ENSG00000236948	106587	202
ENSG00000264341	73	0
ENSG00000264101	70	0
ENSG00000131697	129663	846
ENSG00000069424	110267	1493
ENSG00000116254	78535	95
ENSG00000285629	38328	2
ENSG00000116251	24370	260
ENSG00000226944	941	0
ENSG00000158286	15825	596
ENSG00000116237	14780	338
ENSG00000225077	4753	11
ENSG00000173673	1400	0
ENSG00000158292	13746	203
ENSG00000097021	130123	570
ENSG00000271746	837	0
ENSG00000069812	12253	34
ENSG00000187017	36592	6326
ENSG00000265392	63	0
ENSG00000231868	3973	0
ENSG00000215788	5410	1218
ENSG00000171680	53970	751
ENSG00000162408	33167	688
ENSG00000253022	111	0
ENSG00000229519	715	0
ENSG00000173662	24449	39
ENSG00000204859	9287	1800
ENSG00000162413	23884	322
ENSG00000116273	10300	224
ENSG00000041988	10721	357
ENSG00000007923	67757	1488
ENSG00000228750	5376	9
ENSG00000284744	2085	3
ENSG00000237436	952	9
ENSG00000171735	984253	2968
ENSG00000227950	286	0
ENSG00000237365	5904	0
ENSG00000207056	165	0
ENSG00000237402	1329	0
ENSG00000237728	7268	0
ENSG00000225126	459	0
ENSG00000270171	1721	0
ENSG00000270035	570	0
ENSG00000269978	267	0
ENSG00000049245	10137	325
ENSG00000269925	393	0
ENSG00000049246	60858	196
ENSG00000236266	17101	0
ENSG00000049247	10430	10
ENSG00000049249	27295	76
ENSG00000270330	355	0
ENSG00000116288	31215	1730
ENSG00000200344	103	0
ENSG00000284747	14179	75
ENSG00000284716	1748	0
ENSG00000116285	21906	314
ENSG00000238290	95965	217
ENSG00000232848	1219	0
ENSG00000229305	2947	4
ENSG00000227634	13693	15
ENSG00000200975	164	0
ENSG00000233645	2340	1
ENSG00000251977	107	0
ENSG00000162426	26342	50
ENSG00000252254	113	0
ENSG00000142599	496525	9496
ENSG00000232912	10369	0
ENSG00000221083	125	0
ENSG00000270282	369	0
ENSG00000234619	658	0
ENSG00000224315	703	0
ENSG00000222511	103	0
ENSG00000226545	1032	0
ENSG00000228423	1192	0
ENSG00000229716	369	0
ENSG00000074800	18191	2917
ENSG00000274258	89	0
ENSG00000230679	1060	5
ENSG00000201725	107	0
ENSG00000238249	743	29
ENSG00000232208	352	5
ENSG00000232663	163	1
ENSG00000131686	29226	72
ENSG00000265141	299	0
ENSG00000197241	23046	38
ENSG00000142583	53373	122
ENSG00000252404	184	0
ENSG00000180758	28798	757
ENSG00000228526	50896	919
ENSG00000284357	110	0
ENSG00000234546	14281	0
ENSG00000049239	36564	927
ENSG00000171621	76639	716
ENSG00000284652	1765	3
ENSG00000284693	15471	28
ENSG00000252956	110	0
ENSG00000235263	2380	4
ENSG00000171612	45709	446
ENSG00000231181	559	0
ENSG00000188807	25967	352
ENSG00000171608	77384	566
ENSG00000179840	1977	0
ENSG00000233268	1799	0
ENSG00000231789	15130	0
ENSG00000171603	95059	2758
ENSG00000271264	419	0
ENSG00000280113	1983	4
ENSG00000178585	62061	1382
ENSG00000223989	1837	0
ENSG00000285701	7421	0
ENSG00000162441	21295	443
ENSG00000228150	7052	0
ENSG00000173614	42074	387
ENSG00000202415	319	0
ENSG00000283611	10216	0
ENSG00000265521	78	0
ENSG00000241326	1428	0
ENSG00000162444	18816	86
ENSG00000130939	148408	2425
ENSG00000224340	337	0
ENSG00000233623	978	0
ENSG00000201746	107	0
ENSG00000054523	170799	1765
ENSG00000264881	86	0
ENSG00000199562	107	0
ENSG00000264501	293	0
ENSG00000284735	5245	78
ENSG00000284642	2017	27
ENSG00000142657	21920	567
ENSG00000271989	797	1
ENSG00000251503	22052	77
ENSG00000175279	12376	0
ENSG00000241563	1968	0
ENSG00000160049	16008	843
ENSG00000203469	784	0
ENSG00000142655	158471	1971
ENSG00000287727	4231	0
ENSG00000243267	280	0
ENSG00000130940	160047	5031
ENSG00000272078	15093	0
ENSG00000225158	238	1
ENSG00000175262	35567	41
ENSG00000215785	820	12
ENSG00000120948	13396	0
ENSG00000277726	17867	27
ENSG00000009724	20717	49
ENSG00000271895	870	0
ENSG00000116649	5437	1817
ENSG00000171824	33252	1106
ENSG00000226849	4627	0
ENSG00000230337	2426	30
ENSG00000198793	156017	2090
ENSG00000225602	5640	0
ENSG00000253086	103	0
ENSG00000171819	6627	0
ENSG00000207451	107	0
ENSG00000238173	150	0
ENSG00000120942	22844	333
ENSG00000238199	736	0
ENSG00000284646	7360	2
ENSG00000224338	565	0
ENSG00000204624	58397	103
ENSG00000285833	1214	0
ENSG00000235643	3891	9
ENSG00000284708	19859	19
ENSG00000116661	18768	207
ENSG00000132879	8953	809
ENSG00000116663	10155	712
ENSG00000116670	17171	745
ENSG00000162490	34148	71
ENSG00000177674	18719	708
ENSG00000215910	27799	21
ENSG00000177553	2543	0
ENSG00000177000	20733	329
ENSG00000011021	41984	470
ENSG00000276470	173	0
ENSG00000278852	149	0
ENSG00000175206	2637	3
ENSG00000275915	108	0
ENSG00000120937	1482	2
ENSG00000224904	2637	11
ENSG00000285646	6359	13
ENSG00000199347	120	0
ENSG00000201801	120	0
ENSG00000116685	6838	914
ENSG00000083444	41334	2884
ENSG00000287384	595	0
ENSG00000116688	33334	839
ENSG00000270914	93	0
ENSG00000116691	12580	1024
ENSG00000202461	113	0
ENSG00000276869	65	0
ENSG00000243539	275	1
ENSG00000120949	80905	163
ENSG00000201135	104	0
ENSG00000227875	255	0
ENSG00000285604	3824	0
ENSG00000283789	96	0
ENSG00000028137	42238	425
ENSG00000263676	61	0
ENSG00000225196	316	0
ENSG00000252969	124	0
ENSG00000048707	282018	3870
ENSG00000239149	152	0
ENSG00000229484	697	3
ENSG00000162496	50301	1266
ENSG00000221340	101	0
ENSG00000276830	67	0
ENSG00000272482	345	0
ENSG00000204518	22540	23
ENSG00000226166	112	0
ENSG00000188984	12651	24
ENSG00000157330	17500	20
ENSG00000116726	3066	1
ENSG00000116721	5232	4
ENSG00000228338	474	0
ENSG00000239810	6806	6
ENSG00000231103	3233	2
ENSG00000179172	1344	30
ENSG00000120952	4824	6
ENSG00000243073	6990	9
ENSG00000187545	5375	5
ENSG00000204510	3873	3
ENSG00000207434	107	0
ENSG00000234064	2092	2
ENSG00000232423	9109	17
ENSG00000274178	2792	1
ENSG00000274764	7016	6
ENSG00000277058	1361	1
ENSG00000229571	9208	16
ENSG00000277862	2793	2
ENSG00000236179	1287	2
ENSG00000275774	1367	10
ENSG00000229978	2798	1
ENSG00000233336	480	2
ENSG00000280267	7057	4
ENSG00000179412	1718	5
ENSG00000204505	7010	13
ENSG00000279169	5222	4
ENSG00000279804	3402	4
ENSG00000250894	2790	3
ENSG00000270601	9103	21
ENSG00000231219	2089	2
ENSG00000207511	107	0
ENSG00000182330	4140	3
ENSG00000237700	5369	5
ENSG00000204501	7018	10
ENSG00000228229	480	3
ENSG00000204481	5243	7
ENSG00000204480	2834	3
ENSG00000204479	2998	1
ENSG00000204478	10879	17
ENSG00000162494	39031	36
ENSG00000259961	3051	0
ENSG00000215909	694	1
ENSG00000162493	34493	93
ENSG00000222952	101	0
ENSG00000237445	2600	58
ENSG00000253085	130	1
ENSG00000116731	124882	1683
ENSG00000189337	1225252	5741
ENSG00000252151	103	0
ENSG00000231606	82559	0
ENSG00000234593	81149	0
ENSG00000235829	485	0
ENSG00000287756	3259	0
ENSG00000175147	41804	85
ENSG00000171729	67947	569
ENSG00000204464	6974	0
ENSG00000215720	1018	0
ENSG00000278480	1177	3
ENSG00000142621	153012	212
ENSG00000233485	17197	0
ENSG00000236045	1299	0
ENSG00000228140	6455	13
ENSG00000142634	20452	1508
ENSG00000162438	10801	14
ENSG00000142615	15364	19
ENSG00000215704	25487	47
ENSG00000132906	35703	324
ENSG00000116138	65567	726
ENSG00000251866	140	0
ENSG00000272510	346	0
ENSG00000116771	13353	0
ENSG00000237301	17491	35
ENSG00000235084	447	50
ENSG00000252417	68	1
ENSG00000236500	225	1
ENSG00000197312	51587	1646
ENSG00000215695	1854	0
ENSG00000271742	256	1
ENSG00000116786	50450	631
ENSG00000237938	16585	20
ENSG00000162461	5135	104
ENSG00000224459	9846	2
ENSG00000162460	5484	0
ENSG00000162458	29988	2016
ENSG00000224321	490	113
ENSG00000233954	2180	56
ENSG00000178715	438	14
ENSG00000179743	13674	54
ENSG00000065526	104362	3610
ENSG00000270620	211	0
ENSG00000116809	34264	1684
ENSG00000234607	563	0
ENSG00000231353	260	0
ENSG00000275503	236	0
ENSG00000224966	4881	4
ENSG00000183888	4572	281
ENSG00000233078	512	0
ENSG00000173641	5567	21
ENSG00000186510	15176	116
ENSG00000232456	4852	3
ENSG00000184908	13573	19
ENSG00000185519	15883	7
ENSG00000142627	31733	300
ENSG00000227959	2119	0
ENSG00000224621	2618	9
ENSG00000142632	14799	2079
ENSG00000234166	504	0
ENSG00000237276	12119	160
ENSG00000288398	2662	170
ENSG00000132881	5492	82
ENSG00000233929	186	7
ENSG00000037637	105641	1898
ENSG00000055070	45571	289
ENSG00000226457	381	0
ENSG00000187144	50308	83
ENSG00000157191	19358	515
ENSG00000226029	7534	416
ENSG00000080947	31822	2519
ENSG00000206652	164	4
ENSG00000261135	1110	10
ENSG00000285853	6755	11
ENSG00000224174	1103	0
ENSG00000233421	2287	5
ENSG00000277344	144	0
ENSG00000225710	3881	36
ENSG00000219481	51244	3116
ENSG00000271732	339	5
ENSG00000215908	38980	2916
ENSG00000283773	343	0
ENSG00000186301	4668	0
ENSG00000282143	10646	219
ENSG00000207513	164	0
ENSG00000280114	7653	1188
ENSG00000236698	435	0
ENSG00000268869	32819	1249
ENSG00000279151	4049	0
ENSG00000282740	10652	3
ENSG00000058453	232692	6237
ENSG00000227684	10689	0
ENSG00000207389	164	0
ENSG00000186715	15328	0
ENSG00000223643	1873	0
ENSG00000230239	3878	0
ENSG00000263811	73	0
ENSG00000228549	12715	0
ENSG00000277234	144	0
ENSG00000238142	2130	0
ENSG00000235241	508	0
ENSG00000207005	164	0
ENSG00000272426	438	0
ENSG00000117122	6131	105
ENSG00000286898	1491	0
ENSG00000226526	26166	31
ENSG00000159363	25971	109
ENSG00000117118	35311	1048
ENSG00000117115	52691	173
ENSG00000204362	7835	5
ENSG00000282843	8502	1
ENSG00000142623	40880	40
ENSG00000142619	35136	37
ENSG00000266634	87	0
ENSG00000159339	55810	69
ENSG00000276747	29504	22
ENSG00000227751	623	0
ENSG00000179051	32918	1383
ENSG00000074964	158177	2482
ENSG00000236648	32354	28
ENSG00000117148	71731	257
ENSG00000284653	29901	11
ENSG00000261781	8756	6
ENSG00000117154	270686	188
ENSG00000280222	6473	0
ENSG00000230035	12418	0
ENSG00000225387	2686	0
ENSG00000179023	5145	21
ENSG00000235282	266	0
ENSG00000225478	223	5
ENSG00000009709	118021	156
ENSG00000179002	20084	7
ENSG00000159423	31295	174
ENSG00000265606	74	0
ENSG00000221662	78	0
ENSG00000169991	52397	406
ENSG00000272084	3402	3
ENSG00000127481	135757	3636
ENSG00000230424	30204	102
ENSG00000127463	35868	62
ENSG00000053372	8324	1035
ENSG00000286064	1787	66
ENSG00000211454	8213	198
ENSG00000162482	6198	273
ENSG00000270728	824	47
ENSG00000053371	8182	273
ENSG00000200403	107	0
ENSG00000040487	16975	754
ENSG00000077549	146765	5538
ENSG00000240490	288	0
ENSG00000173436	145419	288
ENSG00000201609	141	0
ENSG00000235185	5031	0
ENSG00000158747	61478	662
ENSG00000270136	59861	0
ENSG00000226396	455	0
ENSG00000158748	16092	24
ENSG00000162542	117733	3512
ENSG00000178828	1255	0
ENSG00000235434	5136	4
ENSG00000169914	30551	184
ENSG00000188784	3609	3
ENSG00000242688	301	0
ENSG00000188257	4986	10
ENSG00000127472	63733	70
ENSG00000117215	7628	26
ENSG00000158786	11059	12
ENSG00000227066	6398	3
ENSG00000187980	16172	30
ENSG00000225986	2245	16
ENSG00000162543	9955	77
ENSG00000228105	1570	0
ENSG00000284710	2988	1
ENSG00000158816	63976	29
ENSG00000226664	28977	0
ENSG00000236963	70656	55
ENSG00000226487	950	0
ENSG00000284641	2716	3
ENSG00000284743	1619	1
ENSG00000162545	3820	250
ENSG00000090432	8704	91
ENSG00000215520	763	2
ENSG00000183114	2448	16
ENSG00000158825	29818	54
ENSG00000158828	18054	83
ENSG00000284005	110	0
ENSG00000117242	9537	14
ENSG00000244038	9778	1311
ENSG00000117245	54004	97
ENSG00000235432	1280	0
ENSG00000189410	13107	8
ENSG00000233069	1073	0
ENSG00000127483	47058	1875
ENSG00000075151	370597	6884
ENSG00000251914	62	0
ENSG00000221808	119	0
ENSG00000233072	385	0
ENSG00000236073	115	0
ENSG00000235112	607	0
ENSG00000287192	1111	6
ENSG00000117298	128326	2580
ENSG00000236936	1170	0
ENSG00000231105	6585	0
ENSG00000236216	376	10
ENSG00000228823	1834	4
ENSG00000236009	1595	0
ENSG00000227001	3343	12
ENSG00000187952	1234	25
ENSG00000186543	3241	19
ENSG00000142794	44878	750
ENSG00000176378	327	0
ENSG00000162551	69014	277
ENSG00000233431	4716	5
ENSG00000076864	73149	1307
ENSG00000090686	105309	2153
ENSG00000231978	307	0
ENSG00000187942	12961	49
ENSG00000142798	115067	5235
ENSG00000232037	483	0
ENSG00000283234	6193	17
ENSG00000219073	21621	13
ENSG00000285959	47012	33
ENSG00000273610	297	0
ENSG00000201919	104	0
ENSG00000142789	10886	0
ENSG00000278124	297	0
ENSG00000201273	104	0
ENSG00000228397	2059	0
ENSG00000218510	6666	0
ENSG00000070831	75850	1671
ENSG00000285752	24611	0
ENSG00000285794	222	0
ENSG00000230068	5003	0
ENSG00000271428	488	0
ENSG00000162552	26657	372
ENSG00000285873	14552	94
ENSG00000266564	62	0
ENSG00000234397	492	36
ENSG00000279625	1853	1
ENSG00000184677	102320	928
ENSG00000237200	2235	0
ENSG00000070886	40107	25
ENSG00000276835	109	0
ENSG00000173372	3051	104
ENSG00000159189	4478	221
ENSG00000173369	8876	111
ENSG00000133216	210662	691
ENSG00000265422	82	0
ENSG00000225952	1137	0
ENSG00000264014	68	0
ENSG00000215906	12296	11
ENSG00000227868	5019	25
ENSG00000004487	64247	7
ENSG00000240553	67912	3
ENSG00000263793	68	0
ENSG00000266802	77	0
ENSG00000169641	93786	1855
ENSG00000229010	818	0
ENSG00000206935	107	0
ENSG00000252578	101	0
ENSG00000179546	2835	5
ENSG00000215381	460	0
ENSG00000261326	6182	225
ENSG00000284726	5070	289
ENSG00000125944	40566	1239
ENSG00000125945	10389	119
ENSG00000249087	2843	50
ENSG00000201405	93	0
ENSG00000271420	650	25
ENSG00000204219	43840	2850
ENSG00000232482	1315	0
ENSG00000088280	56006	2226
ENSG00000007968	24796	172
ENSG00000235052	1777	7
ENSG00000117318	1576	84
ENSG00000285802	17186	16
ENSG00000197880	59074	83
ENSG00000229239	9966	16
ENSG00000142676	5094	2111
ENSG00000236810	71396	2113
ENSG00000011007	18905	0
ENSG00000057757	9815	317
ENSG00000011009	4395	1179
ENSG00000117308	5183	1340
ENSG00000117305	36736	418
ENSG00000179163	23218	331
ENSG00000188822	42848	333
ENSG00000229106	1267	0
ENSG00000232557	775	0
ENSG00000264926	78	0
ENSG00000230228	368	50
ENSG00000189266	6624	660
ENSG00000188529	16581	1197
ENSG00000215905	639	2
ENSG00000225315	45965	28
ENSG00000142661	56101	13
ENSG00000230703	16792	0
ENSG00000142677	23370	56
ENSG00000185436	33792	644
ENSG00000230023	11454	9
ENSG00000232298	14346	36
ENSG00000158055	45126	138
ENSG00000001460	59936	389
ENSG00000001461	57175	1316
ENSG00000286061	39147	26
ENSG00000117602	38690	39
ENSG00000264443	17223	14
ENSG00000184454	53242	93
ENSG00000227312	348	0
ENSG00000239106	103	1
ENSG00000133226	41566	3851
ENSG00000284699	12703	19
ENSG00000169504	98940	1507
ENSG00000238482	107	0
ENSG00000020633	65611	472
ENSG00000278034	72	0
ENSG00000229162	1753	0
ENSG00000261025	2443	1
ENSG00000264371	84	0
ENSG00000285823	6269	2
ENSG00000233755	69414	70
ENSG00000233419	402	1
ENSG00000231953	1299	5
ENSG00000117614	10227	376
ENSG00000284602	2190	49
ENSG00000284657	760	6
ENSG00000117616	95965	1387
ENSG00000272432	485	0
ENSG00000261349	1035	0
ENSG00000187010	58053	0
ENSG00000224183	480	0
ENSG00000259984	1037	0
ENSG00000183726	24045	880
ENSG00000188672	67944	333
ENSG00000238084	478	0
ENSG00000204178	69352	1440
ENSG00000157978	25281	808
ENSG00000225643	8879	30
ENSG00000117643	168740	767
ENSG00000233478	14568	0
ENSG00000162430	18046	265
ENSG00000255054	12275	0
ENSG00000228172	4049	0
ENSG00000117640	14303	428
ENSG00000127423	27546	210
ENSG00000272478	222	0
ENSG00000236528	3808	7
ENSG00000182749	10044	153
ENSG00000207302	110	0
ENSG00000117632	22811	650
ENSG00000229786	251	0
ENSG00000223624	140	0
ENSG00000283938	93	0
ENSG00000158006	38351	568
ENSG00000207237	104	0
ENSG00000252190	125	1
ENSG00000252691	84	0
ENSG00000158008	16581	54
ENSG00000158014	8867	82
ENSG00000284309	2435	3
ENSG00000158022	17133	21
ENSG00000175087	14391	150
ENSG00000197245	4884	19
ENSG00000282872	4421	4
ENSG00000236782	2316	7
ENSG00000142684	966	0
ENSG00000142675	12401	2172
ENSG00000188782	12408	28
ENSG00000236155	20100	32
ENSG00000278572	1896	0
ENSG00000130695	44609	634
ENSG00000270733	358	0
ENSG00000142669	1437	3925
ENSG00000158062	37036	1275
ENSG00000169442	2566	94
ENSG00000176092	38383	108
ENSG00000225854	346	0
ENSG00000176083	12889	66
ENSG00000131914	18912	48
ENSG00000117682	39025	814
ENSG00000223583	535	0
ENSG00000225891	5259	0
ENSG00000198830	4203	1513
ENSG00000224129	897	0
ENSG00000117676	45270	1192
ENSG00000238705	52	0
ENSG00000243905	304	1
ENSG00000252802	102	1
ENSG00000252429	64	0
ENSG00000229247	238	0
ENSG00000238316	104	0
ENSG00000235069	235	0
ENSG00000260063	2000	12
ENSG00000117713	88869	6796
ENSG00000060642	13606	152
ENSG00000241188	291	3
ENSG00000287810	177	0
ENSG00000204160	30917	529
ENSG00000175793	1308	444
ENSG00000142751	14152	334
ENSG00000226698	2113	0
ENSG00000198746	9980	103
ENSG00000090273	46634	1520
ENSG00000131910	2487	0
ENSG00000175707	10907	469
ENSG00000172746	811	50
ENSG00000224064	397	14
ENSG00000225294	444	4
ENSG00000253368	7195	56
ENSG00000158246	7831	225
ENSG00000090020	68173	2444
ENSG00000229985	527	1
ENSG00000214973	640	8
ENSG00000225159	867	92
ENSG00000225990	220	2
ENSG00000224311	5247	6
ENSG00000142784	74005	1696
ENSG00000252098	104	0
ENSG00000243659	599	24
ENSG00000186501	14256	626
ENSG00000206888	107	0
ENSG00000241547	468	0
ENSG00000142765	11918	579
ENSG00000142733	12895	1774
ENSG00000142748	5713	18
ENSG00000174950	4158	31
ENSG00000231207	678	1
ENSG00000181773	3193	4
ENSG00000158195	85938	3448
ENSG00000241169	2385	0
ENSG00000237429	4757	45
ENSG00000126705	70397	4580
ENSG00000000938	23122	170
ENSG00000235912	192	18
ENSG00000233975	2395	9
ENSG00000126709	6135	3678
ENSG00000225886	33596	56
ENSG00000206767	107	0
ENSG00000226662	662	0
ENSG00000207095	105	0
ENSG00000287244	935	1
ENSG00000009780	37144	300
ENSG00000231344	349	0
ENSG00000230833	676	0
ENSG00000117758	51225	1076
ENSG00000269971	184	0
ENSG00000270031	359	0
ENSG00000223062	106	2
ENSG00000286433	3398	12
ENSG00000117751	20895	435
ENSG00000252947	166	0
ENSG00000130775	14143	170
ENSG00000117748	23223	416
ENSG00000130768	24158	53
ENSG00000227050	21319	2
ENSG00000158156	8121	302
ENSG00000158161	118294	1468
ENSG00000238231	367	0
ENSG00000240750	297	0
ENSG00000228589	681	139
ENSG00000228943	560	0
ENSG00000214812	873	2
ENSG00000253005	105	2
ENSG00000169403	46771	177
ENSG00000126698	33574	1237
ENSG00000130770	10798	710
ENSG00000270605	1945	0
ENSG00000271398	425	1
ENSG00000130766	22974	299
ENSG00000130772	6964	226
ENSG00000204138	130783	2975
ENSG00000206779	101	0
ENSG00000229820	394	0
ENSG00000221216	119	0
ENSG00000180198	33358	1462
ENSG00000242125	4913	0
ENSG00000274266	206	0
ENSG00000200087	204	0
ENSG00000231468	910	0
ENSG00000279443	2083	92
ENSG00000180098	25461	870
ENSG00000197989	4595	264
ENSG00000221539	74	0
ENSG00000278274	130	0
ENSG00000273544	132	0
ENSG00000280498	135	0
ENSG00000274582	137	0
ENSG00000120656	53763	662
ENSG00000188060	3244	0
ENSG00000229388	5354	22
ENSG00000274978	134	0
ENSG00000270103	131	0
ENSG00000162419	50622	823
ENSG00000252777	130	0
ENSG00000198492	33155	1925
ENSG00000116329	59126	248
ENSG00000233427	6854	14
ENSG00000199756	110	2
ENSG00000159023	232956	2481
ENSG00000225616	331	0
ENSG00000206704	101	0
ENSG00000277958	282	0
ENSG00000253304	4475	31
ENSG00000225750	2501	17
ENSG00000116350	34158	4419
ENSG00000277916	169	0
ENSG00000116353	38286	729
ENSG00000237934	884	0
ENSG00000060656	90298	912
ENSG00000230523	20495	18
ENSG00000225011	8701	5
ENSG00000228176	697	0
ENSG00000284676	35423	22
ENSG00000270927	493	1
ENSG00000233399	23661	154
ENSG00000233372	1345	0
ENSG00000231251	93	0
ENSG00000236335	2079	2
ENSG00000231949	5284	0
ENSG00000162510	12309	5
