GeneID	Length	fifth.sorted.bam
ENSG00000240731	386	91
ENSG00000224051	2555	3653
ENSG00000169962	3475	114
ENSG00000107404	3882	13250
ENSG00000284372	59	0
ENSG00000162576	3622	24401
ENSG00000175756	1669	1429
ENSG00000223663	367	1
ENSG00000221978	6857	9917
ENSG00000224870	2527	1490
ENSG00000242485	2767	861
ENSG00000264293	293	0
ENSG00000272455	1523	96
ENSG00000235098	2644	1293
ENSG00000225905	543	19
ENSG00000205116	492	26
ENSG00000225285	851	211
ENSG00000179403	5065	15946
ENSG00000215915	3981	1001
ENSG00000160072	7686	5454
ENSG00000284740	660	104
ENSG00000197785	3344	3930
ENSG00000205090	2009	128
ENSG00000160075	6919	4603
ENSG00000215014	2349	47
ENSG00000274481	400	1
ENSG00000228594	2124	1366
ENSG00000286989	1830	100
ENSG00000272106	2038	429
ENSG00000197530	8767	17679
ENSG00000189409	2205	235
ENSG00000248333	3488	7506
ENSG00000272004	400	5
ENSG00000189339	8462	9619
ENSG00000269737	1819	109
ENSG00000215914	1017	216
ENSG00000008128	5085	1496
ENSG00000268575	5079	159
ENSG00000227775	2759	39
ENSG00000215790	7713	3500
ENSG00000008130	5570	5934
ENSG00000078369	6417	15699
ENSG00000231050	906	32
ENSG00000169885	2040	127
ENSG00000178821	1600	53
ENSG00000142609	10422	40
ENSG00000233542	2063	0
ENSG00000187730	5525	59
ENSG00000226969	538	0
ENSG00000067606	7695	1619
ENSG00000271806	4196	27
ENSG00000182873	1734	300
ENSG00000162585	10916	1910
ENSG00000234396	326	4
ENSG00000157933	6550	15803
ENSG00000287356	5794	484
ENSG00000116151	11337	887
ENSG00000272161	493	19
ENSG00000269896	2407	302
ENSG00000272420	568	12
ENSG00000157916	5689	2769
ENSG00000157911	3782	2149
ENSG00000149527	10809	3905
ENSG00000224387	455	20
ENSG00000229393	514	15
ENSG00000157881	5072	1219
ENSG00000197921	1324	5
ENSG00000272449	1531	112
ENSG00000238164	6137	1086
ENSG00000157873	6219	8875
ENSG00000225931	1297	96
ENSG00000228037	626	6
ENSG00000157870	3371	4079
ENSG00000142606	3870	164
ENSG00000237058	373	0
ENSG00000215912	8814	221
ENSG00000285945	593	19
ENSG00000283259	1565	215
ENSG00000233234	607	0
ENSG00000287396	663	0
ENSG00000231630	429	0
ENSG00000284745	1654	0
ENSG00000169717	1437	0
ENSG00000177133	5600	45
ENSG00000142611	9767	126
ENSG00000283572	61	0
ENSG00000226286	469	0
ENSG00000279839	2677	3
ENSG00000272235	3461	2
ENSG00000287828	728	4
ENSG00000286518	2784	0
ENSG00000130762	5324	3382
ENSG00000272088	382	10
ENSG00000162591	9021	9172
ENSG00000207776	96	0
ENSG00000238260	622	49
ENSG00000158109	2401	3504
ENSG00000116213	7634	954
ENSG00000078900	6767	277
ENSG00000227589	754	0
ENSG00000235131	351	0
ENSG00000227372	9701	2852
ENSG00000276189	161	0
ENSG00000162592	4238	47
ENSG00000235169	1087	49
ENSG00000130764	4509	3437
ENSG00000266075	297	24
ENSG00000272153	531	49
ENSG00000116198	7871	2547
ENSG00000169598	3870	219
ENSG00000198912	4388	861
ENSG00000236423	4084	59
ENSG00000233304	5054	0
ENSG00000226374	2168	0
ENSG00000284668	1835	0
ENSG00000284703	4817	16
ENSG00000229280	372	0
ENSG00000235054	2574	10
ENSG00000284694	3402	0
ENSG00000227169	356	0
ENSG00000232596	3328	0
ENSG00000196581	12528	596
ENSG00000287586	3225	3
ENSG00000284739	464	0
ENSG00000284674	1580	1
ENSG00000231510	449	1
ENSG00000284616	1225	1
ENSG00000284692	2316	2
ENSG00000284666	609	0
ENSG00000260972	1697	1
ENSG00000283356	135	0
ENSG00000236948	1095	0
ENSG00000264341	73	0
ENSG00000264101	70	0
ENSG00000131697	13167	3164
ENSG00000069424	17329	1729
ENSG00000116254	10094	64
ENSG00000285629	663	1
ENSG00000116251	4665	5902
ENSG00000226944	378	13
ENSG00000158286	6595	2019
ENSG00000116237	4910	2911
ENSG00000225077	2358	9
ENSG00000173673	710	1
ENSG00000158292	4198	7087
ENSG00000097021	4124	951
ENSG00000271746	837	0
ENSG00000069812	5407	88
ENSG00000187017	6952	2866
ENSG00000265392	63	2
ENSG00000231868	351	166
ENSG00000215788	4283	2022
ENSG00000171680	7053	9076
ENSG00000162408	7271	1726
ENSG00000253022	111	1
ENSG00000229519	401	25
ENSG00000173662	2764	43
ENSG00000204859	4510	2386
ENSG00000162413	6901	8694
ENSG00000116273	3632	1778
ENSG00000041988	4072	502
ENSG00000007923	5083	1683
ENSG00000228750	2188	0
ENSG00000284744	987	2
ENSG00000237436	415	8
ENSG00000171735	9903	2050
ENSG00000227950	286	6
ENSG00000237365	349	0
ENSG00000207056	165	1
ENSG00000237402	365	2
ENSG00000237728	744	0
ENSG00000225126	361	0
ENSG00000270171	1721	18
ENSG00000270035	570	14
ENSG00000269978	267	29
ENSG00000049245	2733	2131
ENSG00000269925	393	33
ENSG00000049246	8099	2358
ENSG00000236266	830	21
ENSG00000049247	1791	3
ENSG00000049249	6354	18
ENSG00000270330	355	0
ENSG00000116288	2397	2641
ENSG00000200344	103	5
ENSG00000284747	4116	73
ENSG00000284716	1043	9
ENSG00000116285	4179	3495
ENSG00000238290	2044	38
ENSG00000232848	800	90
ENSG00000229305	1075	1
ENSG00000227634	1001	1
ENSG00000200975	164	0
ENSG00000233645	477	0
ENSG00000251977	107	0
ENSG00000162426	2888	434
ENSG00000252254	113	0
ENSG00000142599	14112	14790
ENSG00000232912	1178	32
ENSG00000221083	125	14
ENSG00000270282	369	15
ENSG00000234619	658	68
ENSG00000224315	703	21
ENSG00000222511	103	3
ENSG00000226545	415	18
ENSG00000228423	353	24
ENSG00000229716	369	0
ENSG00000074800	5216	32679
ENSG00000274258	89	3
ENSG00000230679	456	5
ENSG00000201725	107	0
ENSG00000238249	743	127
ENSG00000232208	352	0
ENSG00000232663	163	1
ENSG00000131686	2662	62
ENSG00000265141	299	0
ENSG00000197241	1539	2
ENSG00000142583	6632	88
ENSG00000252404	184	0
ENSG00000180758	5304	1560
ENSG00000228526	8702	754
ENSG00000284357	110	0
ENSG00000234546	2141	111
ENSG00000049239	9322	12731
ENSG00000171621	3389	1565
ENSG00000284652	1765	3
ENSG00000284693	2623	74
ENSG00000252956	110	0
ENSG00000235263	708	1
ENSG00000171612	3865	354
ENSG00000231181	559	165
ENSG00000188807	6981	3041
ENSG00000171608	6333	2138
ENSG00000179840	1823	17
ENSG00000233268	421	0
ENSG00000231789	939	79
ENSG00000171603	5241	32594
ENSG00000271264	246	1
ENSG00000280113	1983	5
ENSG00000178585	3339	2231
ENSG00000223989	424	0
ENSG00000285701	762	35
ENSG00000162441	5459	1463
ENSG00000228150	440	8
ENSG00000173614	4610	458
ENSG00000202415	319	3
ENSG00000283611	444	11
ENSG00000265521	78	1
ENSG00000241326	436	0
ENSG00000162444	862	265
ENSG00000130939	9237	2658
ENSG00000224340	337	4
ENSG00000233623	680	17
ENSG00000201746	107	6
ENSG00000054523	17720	4138
ENSG00000264881	86	0
ENSG00000199562	107	30
ENSG00000264501	293	0
ENSG00000284735	2381	79
ENSG00000284642	1477	46
ENSG00000142657	3333	4984
ENSG00000271989	797	1
ENSG00000251503	2244	11
ENSG00000175279	1748	37
ENSG00000241563	914	14
ENSG00000160049	6625	4323
ENSG00000203469	467	0
ENSG00000142655	2932	1845
ENSG00000287727	2876	64
ENSG00000243267	280	63
ENSG00000130940	11336	4300
ENSG00000272078	7923	140
ENSG00000225158	238	0
ENSG00000175262	3573	19
ENSG00000215785	494	3
ENSG00000120948	5317	3084
ENSG00000277726	2205	1
ENSG00000009724	4257	209
ENSG00000271895	870	82
ENSG00000116649	1894	4018
ENSG00000171824	5991	2755
ENSG00000226849	2682	63
ENSG00000230337	536	13
ENSG00000198793	12163	4214
ENSG00000225602	763	9
ENSG00000253086	103	3
ENSG00000171819	2224	92
ENSG00000207451	107	1
ENSG00000238173	150	1
ENSG00000120942	5082	1238
ENSG00000238199	437	6
ENSG00000284646	742	4
ENSG00000224338	565	0
ENSG00000204624	6120	283
ENSG00000285833	1051	1
ENSG00000235643	1351	3
ENSG00000284708	2094	24
ENSG00000116661	3163	1730
ENSG00000132879	3527	2713
ENSG00000116663	1735	391
ENSG00000116670	3324	1115
ENSG00000162490	7365	106
ENSG00000177674	2435	3219
ENSG00000215910	6499	16
ENSG00000177553	1868	1
ENSG00000177000	11513	3912
ENSG00000011021	8173	1704
ENSG00000276470	173	0
ENSG00000278852	149	0
ENSG00000175206	1120	14
ENSG00000275915	108	0
ENSG00000120937	708	0
ENSG00000224904	2637	17
ENSG00000285646	3071	33
ENSG00000199347	120	0
ENSG00000201801	120	0
ENSG00000116685	3281	10349
ENSG00000083444	5320	13766
ENSG00000287384	595	0
ENSG00000116688	4973	8353
ENSG00000270914	93	0
ENSG00000116691	2821	2975
ENSG00000202461	113	5
ENSG00000276869	65	0
ENSG00000243539	275	0
ENSG00000120949	3812	193
ENSG00000201135	104	0
ENSG00000227875	255	0
ENSG00000285604	1196	1
ENSG00000283789	96	0
ENSG00000028137	3778	3567
ENSG00000263676	61	2
ENSG00000225196	316	0
ENSG00000252969	124	1
ENSG00000048707	20768	4514
ENSG00000239149	152	24
ENSG00000229484	438	4
ENSG00000162496	3515	5718
ENSG00000221340	101	20
ENSG00000276830	67	11
ENSG00000272482	345	23
ENSG00000204518	1575	1
ENSG00000226166	112	0
ENSG00000188984	4055	0
ENSG00000157330	4133	0
ENSG00000116726	1786	0
ENSG00000116721	2439	4
ENSG00000228338	378	0
ENSG00000239810	1845	0
ENSG00000231103	1417	0
ENSG00000179172	1134	57
ENSG00000120952	1642	5
ENSG00000243073	1840	0
ENSG00000187545	1525	1
ENSG00000204510	1660	1
ENSG00000207434	107	0
ENSG00000234064	1139	2
ENSG00000232423	1784	1
ENSG00000274178	1450	2
ENSG00000274764	1863	0
ENSG00000277058	1148	5
ENSG00000229571	1918	0
ENSG00000277862	1447	165
ENSG00000236179	891	0
ENSG00000275774	1156	21
ENSG00000229978	1452	157
ENSG00000233336	384	0
ENSG00000280267	1863	0
ENSG00000179412	1718	11
ENSG00000204505	1863	0
ENSG00000279169	2442	3
ENSG00000279804	2067	0
ENSG00000250894	1371	0
ENSG00000270601	1720	0
ENSG00000231219	1068	2
ENSG00000207511	107	0
ENSG00000182330	1937	1
ENSG00000237700	1518	2
ENSG00000204501	1865	1
ENSG00000228229	384	0
ENSG00000204481	2443	3
ENSG00000204480	1440	0
ENSG00000204479	1578	0
ENSG00000204478	1597	1
ENSG00000162494	2168	183
ENSG00000259961	477	0
ENSG00000215909	371	0
ENSG00000162493	3707	584
ENSG00000222952	101	0
ENSG00000237445	379	0
ENSG00000253085	130	0
ENSG00000116731	10923	3036
ENSG00000189337	13860	4013
ENSG00000252151	103	0
ENSG00000231606	1549	21
ENSG00000234593	2858	36
ENSG00000235829	326	10
ENSG00000287756	1453	40
ENSG00000175147	11973	422
ENSG00000171729	2238	1528
ENSG00000204464	559	12
ENSG00000215720	710	3
ENSG00000278480	966	2
ENSG00000142621	12805	832
ENSG00000233485	3105	2
ENSG00000236045	727	22
ENSG00000228140	5178	14
ENSG00000142634	2534	4099
ENSG00000162438	3483	9
ENSG00000142615	1519	6
ENSG00000215704	1449	26
ENSG00000132906	5269	1112
ENSG00000116138	8563	1206
ENSG00000251866	140	1
ENSG00000272510	346	2
ENSG00000116771	3095	50
ENSG00000237301	2845	8
ENSG00000235084	447	198
ENSG00000252417	68	0
ENSG00000236500	225	0
ENSG00000197312	12178	2694
ENSG00000215695	1854	0
ENSG00000271742	256	0
ENSG00000116786	4134	14296
ENSG00000237938	1533	129
ENSG00000162461	3338	165
ENSG00000224459	639	0
ENSG00000162460	1443	1
ENSG00000162458	4351	10736
ENSG00000224321	490	475
ENSG00000233954	2180	148
ENSG00000178715	438	299
ENSG00000179743	2473	201
ENSG00000065526	14336	15641
ENSG00000270620	211	2
ENSG00000116809	4240	3599
ENSG00000234607	563	2
ENSG00000231353	260	0
ENSG00000275503	236	0
ENSG00000224966	962	1
ENSG00000183888	3039	116
ENSG00000233078	466	0
ENSG00000173641	3910	126
ENSG00000186510	3476	228
ENSG00000232456	704	16
ENSG00000184908	2939	63
ENSG00000185519	1720	73
ENSG00000142627	4141	6617
ENSG00000227959	904	29
ENSG00000224621	544	32
ENSG00000142632	3788	3789
ENSG00000234166	439	0
ENSG00000237276	1990	151
ENSG00000288398	2662	789
ENSG00000132881	1574	534
ENSG00000233929	186	27
ENSG00000037637	9009	2538
ENSG00000055070	4742	4891
ENSG00000226457	381	28
ENSG00000187144	4506	12
ENSG00000157191	5510	2427
ENSG00000226029	3245	146
ENSG00000080947	6905	1316
ENSG00000206652	164	8
ENSG00000261135	1110	0
ENSG00000285853	1558	3
ENSG00000224174	327	0
ENSG00000233421	2068	3
ENSG00000277344	144	0
ENSG00000225710	882	14
ENSG00000219481	12212	5553
ENSG00000271732	339	2
ENSG00000215908	5606	5575
ENSG00000283773	166	0
ENSG00000186301	2291	2360
ENSG00000282143	817	6
ENSG00000207513	164	6
ENSG00000280114	1351	15
ENSG00000236698	435	491
ENSG00000268869	4903	129
ENSG00000279151	406	9
ENSG00000282740	819	1
ENSG00000058453	8875	8894
ENSG00000227684	762	8
ENSG00000207389	164	11
ENSG00000186715	5298	2451
ENSG00000223643	837	1
ENSG00000230239	882	3
ENSG00000263811	73	0
ENSG00000228549	3293	22
ENSG00000277234	144	0
ENSG00000238142	2130	37
ENSG00000235241	508	0
ENSG00000207005	164	11
ENSG00000272426	438	13
ENSG00000117122	2712	1000
ENSG00000286898	385	0
ENSG00000226526	636	9
ENSG00000159363	5253	12354
ENSG00000117118	2324	1096
ENSG00000117115	6000	6452
ENSG00000204362	4676	1
ENSG00000282843	1228	0
ENSG00000142623	4903	4
ENSG00000142619	3189	51
ENSG00000266634	87	0
ENSG00000159339	2971	6
ENSG00000276747	2396	0
ENSG00000227751	311	0
ENSG00000179051	4079	5048
ENSG00000074964	7954	12268
ENSG00000236648	1328	0
ENSG00000117148	1844	0
ENSG00000284653	2013	1
ENSG00000261781	2471	0
ENSG00000117154	3033	766
ENSG00000280222	6473	30
ENSG00000230035	430	0
ENSG00000225387	491	0
ENSG00000179023	5145	71
ENSG00000235282	266	2
ENSG00000225478	223	0
ENSG00000009709	6473	0
ENSG00000179002	2542	0
ENSG00000159423	3632	7094
ENSG00000265606	74	0
ENSG00000221662	78	0
ENSG00000169991	6179	9502
ENSG00000272084	3402	67
ENSG00000127481	24661	13075
ENSG00000230424	507	20
ENSG00000127463	9602	4345
ENSG00000053372	2556	1488
ENSG00000286064	339	167
ENSG00000211454	2768	488
ENSG00000162482	1215	870
ENSG00000270728	525	348
ENSG00000053371	1781	2179
ENSG00000200403	107	48
ENSG00000040487	2686	1806
ENSG00000077549	19094	12296
ENSG00000240490	288	11
ENSG00000173436	5480	578
ENSG00000201609	141	0
ENSG00000235185	207	0
ENSG00000158747	3448	28625
ENSG00000270136	1276	2
ENSG00000226396	455	127
ENSG00000158748	3800	126
ENSG00000162542	4054	3763
ENSG00000178828	1255	92
ENSG00000235434	447	0
ENSG00000169914	6885	809
ENSG00000188784	785	1
ENSG00000242688	301	0
ENSG00000188257	1685	29
ENSG00000127472	3342	29
ENSG00000117215	2681	3
ENSG00000158786	6438	9
ENSG00000227066	2930	6
ENSG00000187980	3298	8
ENSG00000225986	510	15
ENSG00000162543	5562	609
ENSG00000228105	646	0
ENSG00000284710	1639	0
ENSG00000158816	6377	13
ENSG00000226664	229	0
ENSG00000236963	4303	2
ENSG00000226487	376	0
ENSG00000284641	1340	1
ENSG00000284743	674	0
ENSG00000162545	2605	2647
ENSG00000090432	2428	3085
ENSG00000215520	763	0
ENSG00000183114	2448	475
ENSG00000158825	820	45
ENSG00000158828	4833	4346
ENSG00000284005	110	0
ENSG00000117242	4443	436
ENSG00000244038	2721	10054
ENSG00000117245	4470	101
ENSG00000235432	479	0
ENSG00000189410	4487	37
ENSG00000233069	299	0
ENSG00000127483	9815	5712
ENSG00000075151	9596	4145
ENSG00000251914	62	0
ENSG00000221808	119	1
ENSG00000233072	385	33
ENSG00000236073	115	7
ENSG00000235112	296	12
ENSG00000287192	1111	6
ENSG00000117298	7308	49403
ENSG00000236936	723	84
ENSG00000231105	2579	176
ENSG00000236216	376	38
ENSG00000228823	649	0
ENSG00000236009	761	4
ENSG00000227001	661	114
ENSG00000187952	1234	1397
ENSG00000186543	830	43
ENSG00000142794	6812	1221
ENSG00000176378	327	1
ENSG00000162551	2980	10559
ENSG00000233431	821	3
ENSG00000076864	5755	4301
ENSG00000090686	9497	2488
ENSG00000231978	307	3
ENSG00000187942	4494	202
ENSG00000142798	18118	76880
ENSG00000232037	483	231
ENSG00000283234	1162	1
ENSG00000219073	1540	0
ENSG00000285959	1611	0
ENSG00000273610	297	0
ENSG00000201919	104	1
ENSG00000142789	1226	0
ENSG00000278124	297	0
ENSG00000201273	104	1
ENSG00000228397	1588	1
ENSG00000218510	3764	82
ENSG00000070831	16278	5874
ENSG00000285752	2574	20
ENSG00000285794	222	0
ENSG00000230068	692	10
ENSG00000271428	488	9
ENSG00000162552	4650	1939
ENSG00000285873	811	99
ENSG00000266564	62	0
ENSG00000234397	492	29
ENSG00000279625	1853	0
ENSG00000184677	9169	2922
ENSG00000237200	273	10
ENSG00000070886	5434	27
ENSG00000276835	109	0
ENSG00000173372	1220	1022
ENSG00000159189	1332	1836
ENSG00000173369	1492	894
ENSG00000133216	12516	1082
ENSG00000265422	82	0
ENSG00000225952	480	2
ENSG00000264014	68	0
ENSG00000215906	1641	0
ENSG00000227868	660	0
ENSG00000004487	5440	4511
ENSG00000240553	666	3
ENSG00000263793	68	4
ENSG00000266802	77	1
ENSG00000169641	9658	4680
ENSG00000229010	818	43
ENSG00000206935	107	3
ENSG00000252578	101	4
ENSG00000179546	2835	4
ENSG00000215381	460	3
ENSG00000261326	6182	368
ENSG00000284726	604	32
ENSG00000125944	8676	4918
ENSG00000125945	4786	2170
ENSG00000249087	2674	140
ENSG00000201405	93	0
ENSG00000271420	650	16
ENSG00000204219	3675	1089
ENSG00000232482	426	12
ENSG00000088280	4988	5595
ENSG00000007968	5462	102
ENSG00000235052	456	1
ENSG00000117318	1496	781
ENSG00000285802	1322	0
ENSG00000197880	2142	1
ENSG00000229239	1186	1
ENSG00000142676	2659	9757
ENSG00000236810	3086	125
ENSG00000011007	5391	2270
ENSG00000057757	2173	1332
ENSG00000011009	2021	4316
ENSG00000117308	3955	1328
ENSG00000117305	5628	1392
ENSG00000179163	2047	1345
ENSG00000188822	5265	17
ENSG00000229106	1267	27
ENSG00000232557	210	1
ENSG00000264926	78	0
ENSG00000230228	368	50
ENSG00000189266	2763	2959
ENSG00000188529	11860	3352
ENSG00000215905	328	0
ENSG00000225315	454	2
ENSG00000142661	9214	277
ENSG00000230703	461	2
ENSG00000142677	2817	99
ENSG00000185436	4940	562
ENSG00000230023	1849	0
ENSG00000232298	856	4
ENSG00000158055	3905	231
ENSG00000001460	8511	396
ENSG00000001461	9396	2278
ENSG00000286061	762	6
ENSG00000117602	7138	1098
ENSG00000264443	1445	1
ENSG00000184454	4146	543
ENSG00000227312	348	15
ENSG00000239106	103	0
ENSG00000133226	7922	7008
ENSG00000284699	886	9
ENSG00000169504	4467	5708
ENSG00000238482	107	4
ENSG00000020633	4523	3086
ENSG00000278034	72	2
ENSG00000229162	820	28
ENSG00000261025	2443	0
ENSG00000264371	84	0
ENSG00000285823	1431	0
ENSG00000233755	863	0
ENSG00000233419	402	0
ENSG00000231953	988	5
ENSG00000117614	3773	889
ENSG00000284602	2190	43
ENSG00000284657	760	20
ENSG00000117616	6730	2763
ENSG00000272432	485	10
ENSG00000261349	459	86
ENSG00000187010	3313	252
ENSG00000224183	480	177
ENSG00000259984	459	8
ENSG00000183726	3010	2567
ENSG00000188672	2433	76
ENSG00000238084	478	194
ENSG00000204178	3979	1306
ENSG00000157978	5371	2958
ENSG00000225643	483	21
ENSG00000117643	9026	1002
ENSG00000233478	2224	7
ENSG00000162430	4421	16254
ENSG00000255054	792	0
ENSG00000228172	2793	62
ENSG00000117640	5797	2814
ENSG00000127423	2408	17
ENSG00000272478	222	0
ENSG00000236528	849	1
ENSG00000182749	3297	1153
ENSG00000207302	110	0
ENSG00000117632	6247	969
ENSG00000229786	251	0
ENSG00000223624	140	1
ENSG00000283938	93	0
ENSG00000158006	3795	1303
ENSG00000207237	104	0
ENSG00000252190	125	0
ENSG00000252691	84	0
ENSG00000158008	4542	2675
ENSG00000158014	3483	132
ENSG00000284309	941	2
ENSG00000158022	2573	14
ENSG00000175087	4560	311
ENSG00000197245	2799	171
ENSG00000282872	761	0
ENSG00000236782	2073	106
ENSG00000142684	732	0
ENSG00000142675	3960	4278
ENSG00000188782	2030	6
ENSG00000236155	3191	26
ENSG00000278572	899	28
ENSG00000130695	5145	734
ENSG00000270733	358	4
ENSG00000142669	876	2556
ENSG00000158062	4704	3620
ENSG00000169442	934	43
ENSG00000176092	6895	33
ENSG00000225854	346	0
ENSG00000176083	2379	136
ENSG00000131914	3975	7
ENSG00000117682	5608	1929
ENSG00000223583	535	71
ENSG00000225891	1261	51
ENSG00000198830	3189	5010
ENSG00000224129	897	0
ENSG00000117676	5884	4345
ENSG00000238705	52	1
ENSG00000243905	304	0
ENSG00000252802	102	0
ENSG00000252429	64	0
ENSG00000229247	238	0
ENSG00000238316	104	0
ENSG00000235069	235	0
ENSG00000260063	2000	33
ENSG00000117713	15939	20492
ENSG00000060642	5872	1062
ENSG00000241188	291	1
ENSG00000287810	177	0
ENSG00000204160	5460	1666
ENSG00000175793	1308	6205
ENSG00000142751	4966	1980
ENSG00000226698	306	0
ENSG00000198746	2226	770
ENSG00000090273	2848	3631
ENSG00000131910	1165	6
ENSG00000175707	1855	1693
ENSG00000172746	497	157
ENSG00000224064	397	12
ENSG00000225294	444	4
ENSG00000253368	1979	425
ENSG00000158246	2382	2980
ENSG00000090020	6195	11528
ENSG00000229985	527	5
ENSG00000214973	640	45
ENSG00000225159	867	425
ENSG00000225990	220	0
ENSG00000224311	379	3
ENSG00000142784	5911	12648
ENSG00000252098	104	0
ENSG00000243659	282	29
ENSG00000186501	4476	3687
ENSG00000206888	107	6
ENSG00000241547	468	340
ENSG00000142765	5584	8291
ENSG00000142733	5746	10043
ENSG00000142748	2167	135
ENSG00000174950	1994	394
ENSG00000231207	355	1
ENSG00000181773	2137	86
ENSG00000158195	5681	16258
ENSG00000241169	428	5
ENSG00000237429	283	5
ENSG00000126705	8297	17356
ENSG00000000938	3382	417
ENSG00000235912	192	21
ENSG00000233975	441	0
ENSG00000126709	842	643
ENSG00000225886	1651	8
ENSG00000206767	107	0
ENSG00000226662	662	0
ENSG00000207095	105	0
ENSG00000287244	935	2
ENSG00000009780	4034	463
ENSG00000231344	349	5
ENSG00000230833	676	4
ENSG00000117758	3801	2216
ENSG00000269971	184	6
ENSG00000270031	359	12
ENSG00000223062	106	0
ENSG00000286433	1471	1
ENSG00000117751	2815	1191
ENSG00000252947	166	4
ENSG00000130775	4621	706
ENSG00000117748	1981	1490
ENSG00000130768	2663	921
ENSG00000227050	491	1
ENSG00000158156	2229	704
ENSG00000158161	6424	1504
ENSG00000238231	367	22
ENSG00000240750	297	17
ENSG00000228589	681	690
ENSG00000228943	235	0
ENSG00000214812	557	7
ENSG00000253005	105	1
ENSG00000169403	4208	395
ENSG00000126698	2892	2162
ENSG00000130770	2225	1265
ENSG00000270605	1945	67
ENSG00000271398	425	0
ENSG00000130766	3462	2211
ENSG00000130772	2017	418
ENSG00000204138	7317	3443
ENSG00000206779	101	4
ENSG00000229820	394	27
ENSG00000221216	119	14
ENSG00000180198	3888	3460
ENSG00000242125	4088	507
ENSG00000274266	206	0
ENSG00000200087	204	6
ENSG00000231468	611	20
ENSG00000279443	2083	140
ENSG00000180098	4311	579
ENSG00000197989	4266	390
ENSG00000221539	74	5
ENSG00000278274	130	0
ENSG00000273544	132	0
ENSG00000280498	135	0
ENSG00000274582	137	0
ENSG00000120656	2337	267
ENSG00000188060	2200	282
ENSG00000229388	978	4
ENSG00000274978	134	0
ENSG00000270103	131	0
ENSG00000162419	6459	1201
ENSG00000252777	130	0
ENSG00000198492	3729	4100
ENSG00000116329	9345	201
ENSG00000233427	1085	1
ENSG00000199756	110	1
ENSG00000159023	19993	2237
ENSG00000225616	331	43
ENSG00000206704	101	1
ENSG00000277958	282	6
ENSG00000253304	2606	1059
ENSG00000225750	279	3
ENSG00000116350	8806	4544
ENSG00000277916	169	0
ENSG00000116353	4138	1043
ENSG00000237934	573	13
ENSG00000060656	6682	13464
ENSG00000230523	2148	1
ENSG00000225011	349	10
ENSG00000228176	498	0
ENSG00000284676	1953	1
ENSG00000270927	493	0
ENSG00000233399	1519	1
ENSG00000233372	551	0
ENSG00000231251	93	0
ENSG00000236335	507	1
ENSG00000231949	481	0
ENSG00000162510	4604	34
ENSG00000186056	4024	175
